task,episode,timestep,phase,state_id,scale_index,scale_m,perturbation_type,perturbation_magnitude,perturbation_dx,perturbation_dy,perturbation_dz,branch_success,branch_valid,branch_error,original_suffix_success,expert_success,criticality_at_scale,action_magnitude,action_velocity,action_acceleration,gripper_transition,eef_object_distance,object_goal_distance
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,object_pos_x+,0.0015,0.0015,0.0,0.0,1,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,object_pos_x-,0.0015,-0.0015,0.0,0.0,1,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,object_pos_y+,0.0015,0.0,0.0015,0.0,1,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,object_pos_y-,0.0015,0.0,-0.0015,0.0,1,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,eef_joint_1+,0.01,0.0,0.01,0.0,0,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0,0.0015,eef_joint_1-,0.01,0.0,-0.01,0.0,1,1,,1,1,0.16666666666666663,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,object_pos_x+,0.003,0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,object_pos_x-,0.003,-0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,object_pos_y+,0.003,0.0,0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,object_pos_y-,0.003,0.0,-0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,eef_joint_1+,0.02,0.0,0.02,0.0,0,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,0.003,eef_joint_1-,0.02,0.0,-0.02,0.0,0,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,2,0.006,object_pos_x+,0.006,0.006,0.0,0.0,1,1,,1,1,0.5,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,2,0.006,object_pos_x-,0.006,-0.006,0.0,0.0,1,1,,1,1,0.5,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
