task,episode,timestep,state_id,phase,object_goal_distance,eef_object_distance,action_magnitude,action_velocity,action_acceleration,gripper_transition,p_fail_0,p_fail_1,p_fail_2,fragility_score,first_nonzero_scale_m,robustness_margin_50pct_m
PickCube-v1,0,0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,0.0,0.2760058343410492,0.16342215240001678,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
PickCube-v1,0,5,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,0.1388888888888889,0.27600565552711487,0.0719805508852005,3.3746204376220703,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.3833333333333333,0.0015,0.006
PickCube-v1,0,10,49c20ac1738560ea9ade65ffa3f8e741bce77f9966241b4be29b8b8897aad6d4,0.2777777777777778,0.27600565552711487,0.031353820115327835,3.3734793663024902,0.0,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3833333333333333,0.0015,0.003
PickCube-v1,0,15,d73f667873ae923002c438258306b6929d1e6dd4536d3182b01255fb60986cfc,0.4166666666666667,0.2760056257247925,0.0015925690531730652,3.3734793663024902,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.4666666666666667,0.0015,0.003
PickCube-v1,0,20,c004a6fe2cff8cc13e92e889eda089fc87ca1fa1bcce216d62a1943c7d942f4b,0.5555555555555556,0.27570590376853943,0.0008287452510558069,3.3734793663024902,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.0015,nan
PickCube-v1,0,25,731b99324ecc881d2097b4f01a95b3f68a8bfcd7361db37d8ead9d7e24c98e28,0.6944444444444444,0.25052082538604736,0.0008133534574881196,3.3793435096740723,0.0,0.18000003695487976,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.0015,nan
PickCube-v1,0,30,63f9a6f8a50e9a2dcca7645a31922517dffe8802a3c28818c11c949c2bfdd3ad,0.8333333333333334,0.1074334979057312,0.0008278681780211627,3.3793435096740723,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.0015,nan
PickCube-v1,0,35,a6eb70b01299bef13206bf26b70697e931a5bae8313fd266ab1ac5f21f50e6c4,0.9722222222222222,0.023734210059046745,0.0008335344027727842,3.390456438064575,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3,0.0015,nan
PickCube-v1,1,0,59920738b6b90ef0c67294a19fa6c479c98fcf44589e03d4fb1dda220c4ede40,0.0,0.2276918739080429,0.17049364745616913,3.3701274394989014,3.3701274394989014,3.3701274394989014,1.0,0.0,0.0,0.5,0.25,0.006,0.006
PickCube-v1,1,5,34d908b3f1c5e66d33a58d5d03dc54c0cb784e386be149cafb3fc26d98dc926a,0.14285714285714285,0.22769199311733246,0.07222028821706772,3.3701274394989014,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.006,0.006
PickCube-v1,1,10,679c0219820fde1dea7e2bbe21250b405dca64d38613797dc6ecf0698533b040,0.2857142857142857,0.22769206762313843,0.03255961090326309,3.3689849376678467,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.006,0.006
PickCube-v1,1,15,a66fa710a85a7d2177ce7aad9e8146a8569c4806a9860de5df416ae057479457,0.42857142857142855,0.22769203782081604,0.0019696932286024094,3.3689849376678467,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.006,0.006
PickCube-v1,1,20,9bdbae3a35a4a0ff1770bfea360766e65340afe4317a13d5dc0a46fff8fd9fb4,0.5714285714285714,0.22716180980205536,0.0006849084165878594,3.3689849376678467,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,1,25,ca99484a1232a8790117a9892f11265e8d0b63825a28e8c6308a72c36cbe9549,0.7142857142857143,0.20204097032546997,0.0008400832884944975,3.374856948852539,0.0,0.18000003695487976,0.0,0.0,0.0,0.5,0.25,0.006,0.006
PickCube-v1,1,30,01db8e095833e626fb4c231ae2e32359da2ba3ef6e0a19ef1316eb088c5981cf,0.8571428571428571,0.050283901393413544,0.0008645071648061275,3.374856948852539,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
PickCube-v1,1,35,dcf81c42416fe779737fb3c3c81a8f870dfefbf673e438b3f5f7ffa6450396ab,1.0,0.011228892020881176,0.0008638329454697669,3.379368782043457,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.006,nan
