task,episode,timestep,phase,state_id,perturbation_type,perturbation_magnitude,perturbation_dx,perturbation_dy,perturbation_dz,branch_success,branch_valid,branch_error,original_suffix_success,expert_success,criticality,action_magnitude,action_velocity,action_acceleration,gripper_transition,eef_object_distance,object_goal_distance
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,zero,0.0,0.0,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,object_pos_x+,0.003,0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,object_pos_x-,0.003,-0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,object_pos_y+,0.003,0.0,0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,object_pos_y-,0.003,0.0,-0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,eef_joint_1+,0.02,0.0,0.02,0.0,0,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,0,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,eef_joint_1-,0.02,0.0,-0.02,0.0,0,1,,1,1,0.33333333333333337,3.3746204376220703,3.3746204376220703,3.3746204376220703,1.0,0.16342215240001678,0.2760058343410492
PickCube-v1,0,5,0.1388888888888889,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,zero,0.0,0.0,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,0.0,0.0,0.0,0.0719805508852005,0.27600565552711487
PickCube-v1,0,5,0.1388888888888889,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,object_pos_x+,0.003,0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,0.0,0.0,0.0,0.0719805508852005,0.27600565552711487
PickCube-v1,0,5,0.1388888888888889,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,object_pos_x-,0.003,-0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,0.0,0.0,0.0,0.0719805508852005,0.27600565552711487
PickCube-v1,0,5,0.1388888888888889,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,object_pos_y+,0.003,0.0,0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,0.0,0.0,0.0,0.0719805508852005,0.27600565552711487
PickCube-v1,0,5,0.1388888888888889,2b9a5b622494dcf40034226c27ab92f1d50aca45d68e0d18131acb035a8e7c11,object_pos_y-,0.003,0.0,-0.003,0.0,1,1,,1,1,0.33333333333333337,3.3746204376220703,0.0,0.0,0.0,0.0719805508852005,0.27600565552711487
