task,episode,timestep,phase,state_id,perturbation_type,perturbation_magnitude,perturbation_dx,perturbation_dy,perturbation_dz,branch_success,branch_valid,branch_error,original_suffix_success,expert_success,criticality,action_magnitude,action_velocity,action_acceleration,gripper_transition,eef_object_distance,object_goal_distance
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,zero,0.0,0.0,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,object_pos_x+,0.003,0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,object_pos_x-,0.003,-0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,object_pos_y+,0.003,0.0,0.003,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,object_pos_y-,0.003,0.0,-0.003,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,eef_joint_1+,0.02,0.0,0.02,0.0,0,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,0,0.0,998b750f55a5c7258756dc0e66adb129c7944b3c5163907717f26ce7cf103eca,eef_joint_1-,0.02,0.0,-0.02,0.0,0,1,,1,1,0.33333333333333337,3.583110809326172,3.583110809326172,3.583110809326172,1.0,0.22952860593795776,0.2093940353571869
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,zero,0.0,0.0,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,object_pos_x+,0.003,0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,object_pos_x-,0.003,-0.003,0.0,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,object_pos_y+,0.003,0.0,0.003,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,object_pos_y-,0.003,0.0,-0.003,0.0,1,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
StackCube-v1,0,5,0.09090909090909091,95038e247cc67ae64af60476fc36485062b3000177fa2dc42506fd912317916d,eef_joint_1+,0.02,0.0,0.02,0.0,0,1,,1,1,0.33333333333333337,3.583110809326172,0.0,0.0,0.0,0.06875243037939072,0.2093932851087279
