branch_file,branch_state_id,branch_valid,bridge_reduces_orientation_error,bridge_reduces_position_error,episode,error,final_orientation_error_rad,final_position_error_m,full_success,initial_orientation_error_rad,initial_position_error_m,k,max_command_rotation_rad,max_command_translation_m,perturbation_type,phase,state_id,target_timestep,task,teleport_violation,timestep
experiments/counterfactual_tournament/maniskill_recovery_branches/pickcube_episode_000_t0000_object_pos_x+_k1_0001.pt,e18e9f76706ac5af1f0d73b966d6eb52189db1378b39f691c3883ce5c87b8faa,1,0,1,0,,0.9632844438179899,0.5765649203748614,1,0.35433122762581415,0.6175762031399434,1,0.12,0.02,object_pos_x+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,PickCube-v1,0,0
,e18e9f76706ac5af1f0d73b966d6eb52189db1378b39f691c3883ce5c87b8faa,1,0,0,0,,2.1804306261390973,0.6319026336478195,0,0.35433122762581415,0.6175762050882901,3,0.12000000000000001,0.020000000000000004,object_pos_x+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,3,PickCube-v1,0,0
,e18e9f76706ac5af1f0d73b966d6eb52189db1378b39f691c3883ce5c87b8faa,1,0,0,0,,2.705573825970186,0.6675720346932091,0,0.35433122762581415,0.6175762050882901,5,0.12000000000000001,0.020000000000000004,object_pos_x+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,5,PickCube-v1,0,0
experiments/counterfactual_tournament/maniskill_recovery_branches/pickcube_episode_000_t0000_object_pos_x-_k1_0002.pt,f07c98a75e97122c10b918d2cb6dec6e15accd0cbbc70eded8608f3a1468291d,1,0,1,0,,0.9632844438179899,0.5765649242355961,1,0.35433122762581415,0.6175762050882901,1,0.12,0.02,object_pos_x-,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,PickCube-v1,0,0
,f07c98a75e97122c10b918d2cb6dec6e15accd0cbbc70eded8608f3a1468291d,1,0,0,0,,2.1804306261390973,0.6319026336478195,0,0.35433122762581415,0.6175762050882901,3,0.12000000000000001,0.020000000000000004,object_pos_x-,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,3,PickCube-v1,0,0
,f07c98a75e97122c10b918d2cb6dec6e15accd0cbbc70eded8608f3a1468291d,1,0,0,0,,2.7048919030381318,0.6676832961351755,0,0.35433122762581415,0.6175762050882901,5,0.12000000000000001,0.020000000000000004,object_pos_x-,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,5,PickCube-v1,0,0
experiments/counterfactual_tournament/maniskill_recovery_branches/pickcube_episode_000_t0000_object_pos_y+_k1_0003.pt,ae34c2152f1289568aec586cd6a959547416b2f726006f9aa3f6193f53a3e443,1,0,1,0,,0.9632844438179899,0.5765649242355961,1,0.35433122762581415,0.6175762050882901,1,0.12,0.02,object_pos_y+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,PickCube-v1,0,0
,ae34c2152f1289568aec586cd6a959547416b2f726006f9aa3f6193f53a3e443,1,0,0,0,,2.1804306261390973,0.6319026336478195,0,0.35433122762581415,0.6175762050882901,3,0.12000000000000001,0.020000000000000004,object_pos_y+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,3,PickCube-v1,0,0
,ae34c2152f1289568aec586cd6a959547416b2f726006f9aa3f6193f53a3e443,1,0,0,0,,2.7208176302024087,0.6685422708578547,0,0.35433122762581415,0.6175762050882901,5,0.12000000000000001,0.020000000000000004,object_pos_y+,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,5,PickCube-v1,0,0
experiments/counterfactual_tournament/maniskill_recovery_branches/pickcube_episode_000_t0000_object_pos_y-_k1_0004.pt,eca4e09c1b9c8d13d8cfe00fa7099da436e1a5c02f8e37aefa729b618478c2d2,1,0,1,0,,0.9632844438179899,0.5765649242355961,1,0.35433122762581415,0.6175762050882901,1,0.12,0.02,object_pos_y-,0.0,4adc8ca4eba39a48c3a140983806f4bf2903d4bac16ecb64fb547c8f36e8b7e3,1,PickCube-v1,0,0
