suite,task_id,task_label,role,blocks,FRESH_successes,FRESH_success_rate,FO20_successes,FO20_success_rate,REVERSE20_successes,REVERSE20_success_rate,FULL_OLD20_successes,FULL_OLD20_success_rate,HARD_H16_successes,HARD_H16_success_rate,FO20_minus_REVERSE20,FO20_minus_FRESH,FO20_minus_FULL_OLD20
libero_goal,4,libero_goal:task4,primary_unseen_to_executor_development,14,13,0.9285714285714286,12,0.8571428571428571,8,0.5714285714285714,12,0.8571428571428571,11,0.7857142857142857,4,-1,0
libero_goal,6,libero_goal:task6,primary_unseen_to_executor_development,14,10,0.7142857142857143,10,0.7142857142857143,3,0.21428571428571427,2,0.14285714285714285,8,0.5714285714285714,7,0,8
libero_goal,7,libero_goal:task7,primary_unseen_to_executor_development,14,14,1.0,14,1.0,13,0.9285714285714286,13,0.9285714285714286,14,1.0,1,0,1
libero_goal,8,libero_goal:task8,primary_unseen_to_executor_development,14,13,0.9285714285714286,14,1.0,9,0.6428571428571429,6,0.42857142857142855,14,1.0,5,1,8
libero_goal,9,libero_goal:task9,primary_unseen_to_executor_development,14,8,0.5714285714285714,9,0.6428571428571429,3,0.21428571428571427,12,0.8571428571428571,11,0.7857142857142857,6,1,-3
libero_10,0,libero_10:task0,primary_unseen_to_executor_development,14,2,0.14285714285714285,3,0.21428571428571427,0,0.0,1,0.07142857142857142,4,0.2857142857142857,3,1,2
libero_10,2,libero_10:task2,primary_unseen_to_executor_development,14,8,0.5714285714285714,12,0.8571428571428571,2,0.14285714285714285,10,0.7142857142857143,13,0.9285714285714286,10,4,2
libero_10,4,libero_10:task4,primary_unseen_to_executor_development,14,3,0.21428571428571427,2,0.14285714285714285,0,0.0,1,0.07142857142857142,9,0.6428571428571429,2,-1,1
libero_10,6,libero_10:task6,primary_unseen_to_executor_development,14,5,0.35714285714285715,5,0.35714285714285715,0,0.0,6,0.42857142857142855,4,0.2857142857142857,5,0,-1
libero_10,7,libero_10:task7,primary_unseen_to_executor_development,14,1,0.07142857142857142,2,0.14285714285714285,0,0.0,3,0.21428571428571427,5,0.35714285714285715,2,1,-1
libero_object,1,libero_object:task1,bridge_exposed,14,5,0.35714285714285715,6,0.42857142857142855,0,0.0,5,0.35714285714285715,11,0.7857142857142857,6,1,1
libero_object,5,libero_object:task5,bridge_exposed,14,5,0.35714285714285715,5,0.35714285714285715,2,0.14285714285714285,7,0.5,13,0.9285714285714286,3,0,-2
libero_object,9,libero_object:task9,bridge_exposed,14,10,0.7142857142857143,10,0.7142857142857143,6,0.42857142857142855,8,0.5714285714285714,9,0.6428571428571429,4,0,2
