model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
constant_prior,train_only,1,674,651,23,0.9658753709198813,0.5,0.9880152004818357,0.27118935103703307,0.4880872998417086,False,,0.03179571857208507,-7.529115340551629
constant_prior,train_only,2,670,631,39,0.9417910447761194,0.5,0.9823271284253491,0.2701194323561623,0.46400297369794674,False,,0.05143357304355249,-4.2518115381063035
constant_prior,train_only,3,664,611,53,0.9201807228915663,0.5,0.9723638151688333,0.26915941848880737,0.4423926518133936,False,,0.06756963163777621,-2.983437706626895
constant_prior,train_only,4,660,601,59,0.9106060606060606,0.5,0.9701582888563212,0.26873407505253505,0.4328179895278879,False,,0.07396341138387637,-2.633338025172777
constant_prior,train_only,5,660,593,67,0.8984848484848484,0.5,0.9663398256634433,0.2681956040483695,0.4206967774066757,False,,0.08221218546861095,-2.2622366443569124
constant_prior,train_only,6,658,581,77,0.8829787234042553,0.5,0.9594616716649433,0.2675067621520833,0.40519065232608265,False,,0.09249116610700348,-1.8922412097454089
constant_prior,train_only,7,656,574,82,0.875,0.5,0.9539891191333991,0.2671523164777988,0.39721192892182733,False,,0.09771934490594321,-1.7338733874540213
constant_prior,train_only,8,650,564,86,0.8676923076923077,0.5,0.941037556688479,0.2668276805935567,0.389904236614135,False,,0.1034447791798012,-1.5794214334371932
constant_prior,train_only,9,650,550,100,0.8461538461538461,0.5,0.922925974753146,0.26587085904000113,0.3683657750756735,False,,0.11888577654447553,-1.236355489847333
constant_prior,train_only,10,648,535,113,0.8256172839506173,0.5,0.8966304627781481,0.2649585457200875,0.3478292128724446,False,,0.13272718288788818,-0.9962643669148943
constant_prior,train_only,11,644,524,120,0.8136645962732919,0.5,0.8732216365606708,0.2644275612218604,0.33587652519511924,False,,0.14156975501489297,-0.8678252370645336
constant_prior,train_only,12,642,516,126,0.8037383177570093,0.5,0.8623180291075295,0.26398659763613647,0.32595024667883665,False,,0.148819001092084,-0.7738769626117217
constant_prior,train_only,13,636,490,146,0.7704402515723271,0.5,0.830294237592979,0.26250736907747957,0.2926521804941545,False,,0.16762267561403082,-0.566061203329858
constant_prior,train_only,14,630,476,154,0.7555555555555555,0.5,0.8138923355071069,0.2618461334575845,0.2777674844773829,False,,0.17516838708306176,-0.4948252810789522
constant_prior,train_only,15,628,459,169,0.7308917197452229,0.5,0.7982783453813412,0.26075047072166707,0.25310364866705026,False,,0.18418948609162755,-0.4156642501947869
constant_prior,train_only,16,624,446,178,0.7147435897435898,0.5,0.7924453313828247,0.26003310849003364,0.23695551866541714,False,,0.18916174852867754,-0.3746601018049469
constant_prior,train_only,17,622,435,187,0.6993569131832797,0.5,0.7811797289016921,0.2593495729578322,0.22156884210510713,False,,0.19316626380514185,-0.3426235402029276
constant_prior,train_only,18,618,417,201,0.6747572815533981,0.5,0.7764534693876124,0.25825676241929996,0.19696921047522542,False,,0.19511600265432533,-0.32360625938425525
constant_prior,train_only,19,618,408,210,0.6601941747572816,0.5,0.7699847629890176,0.25760981303322733,0.18240610367910892,False,,0.1973615027386028,-0.30526880601644457
constant_prior,train_only,20,612,396,216,0.6470588235294118,0.5,0.7595883424273918,0.25702629005755395,0.16927075245123913,False,,0.19973326552219994,-0.28684768351211876
constant_prior,train_only,21,612,392,220,0.6405228758169934,0.5,0.753420612913815,0.25673593804550393,0.16273480473882074,False,,0.20285209695560347,-0.2656311761060748
constant_prior,train_only,22,612,383,229,0.6258169934640523,0.5,0.7421748357010097,0.25608264601839137,0.1480289223858796,False,,0.20385935715860218,-0.2561731263537712
constant_prior,train_only,23,610,364,246,0.5967213114754099,0.5,0.7233816835759588,0.25479010357786375,0.11893324039723718,False,,0.20740007699302235,-0.22849570391642504
constant_prior,train_only,24,606,350,256,0.5775577557755776,0.5,0.7107775186700829,0.25393878450367546,0.09976968469740494,False,,0.2078626614666031,-0.2216661843544967
constant_prior,train_only,25,600,341,259,0.5683333333333334,0.5,0.6969138821504012,0.25352900007241136,0.09054526225516074,False,,0.21052205428393125,-0.2042871277062337
constant_prior,train_only,26,592,326,266,0.5506756756756757,0.5,0.6864435348638707,0.25274457879877565,0.07288760459750304,False,,0.21242368502578124,-0.18981355006670175
constant_prior,train_only,27,588,318,270,0.5408163265306123,0.5,0.6745487571959251,0.2523065884739244,0.06302825545243973,False,,0.21420481301986444,-0.1778754404109797
constant_prior,train_only,28,582,305,277,0.5240549828178694,0.5,0.6707534177892274,0.25156198492356086,0.046266911739696825,False,,0.21390880519031513,-0.17602444976374687
constant_prior,train_only,29,578,298,280,0.5155709342560554,0.5,0.678324484348722,0.2511850907563122,0.037782863177882764,False,,0.21149132516581798,-0.18768507672535817
constant_prior,train_only,30,578,288,290,0.4982698961937716,0.5,0.6575064327309623,0.25041651190088565,0.020481825115598984,False,,0.21350275626001258,-0.17289592081854877
constant_prior,train_only,31,576,277,299,0.4809027777777778,0.5,0.6475376131723407,0.24964499750121957,0.003114706699605174,False,,0.2107840532885545,-0.18436377708073604
constant_prior,train_only,32,574,275,299,0.47909407665505227,0.5,0.6444168235120223,0.249564648019662,0.0013060055768797096,False,,0.21165164669065356,-0.17912925281616832
constant_prior,train_only,33,568,261,307,0.4595070422535211,0.5,0.6156672218510288,0.24869451638782955,0.01828102882465149,False,,0.21013112819491803,-0.18352058794992065
constant_prior,train_only,34,568,252,316,0.44366197183098594,0.5,0.5926501396822615,0.24799061723185614,0.03412609924718668,False,,0.20995071780074956,-0.1811848981969557
constant_prior,train_only,35,566,246,320,0.43462897526501765,0.5,0.5863233214476148,0.2475893366765074,0.04315909581315491,False,,0.2085135699921319,-0.18740155226276167
constant_prior,train_only,36,562,238,324,0.4234875444839858,0.5,0.5773744750643882,0.24709439133931588,0.054300526594186826,False,,0.2066415258907867,-0.19576348594090986
constant_prior,train_only,37,560,228,332,0.40714285714285714,0.5,0.5746901860037641,0.24636829727237464,0.07064521393531548,False,,0.19907123041794256,-0.2375886598738235
constant_prior,train_only,38,554,221,333,0.3989169675090253,0.5,0.5531365259369285,0.24600287152064362,0.07887110356914734,False,,0.20080703722303886,-0.2250709682420402
constant_prior,train_only,39,548,214,334,0.3905109489051095,0.5,0.5507988187446463,0.2456294437451522,0.0872771221730631,False,,0.19750337217816685,-0.2436721511953277
