condition,model,group,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,23377,14655,8722,0.6268982333062412,0.8378582972066151,0.9009887754477249,0.16273463961371473,0.06071577977799693,False,,0.18496104456082757,0.12016803321957514
A_chunk_only,monotone_conditional_survival_shared_mlp,gripper,23377,7318,16059,0.31304273431150276,0.9643928482428342,0.924082501131426,0.06914349356983858,0.009512694454372559,False,,0.14165659880837184,0.5118935923107012
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,arm,23377,14655,8722,0.6268982333062412,0.8407012123446782,0.9008461092266289,0.1586829742301441,0.04336440451180238,False,,0.18496104456082757,0.14207353982606585
B_chunk_plus_state,monotone_conditional_survival_shared_mlp,gripper,23377,7318,16059,0.31304273431150276,0.9626045107205033,0.9216285783120854,0.0718250933590746,0.01842998339982388,False,,0.14165659880837184,0.4929633072989624
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,23377,14655,8722,0.6268982333062412,0.8421719419772555,0.9008186390052008,0.15888436986894758,0.05218454801122168,False,,0.18496104456082757,0.1409846854714547
C_chunk_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,gripper,23377,7318,16059,0.31304273431150276,0.9568541927441957,0.911470666365385,0.07721378011595582,0.012361570420179,False,,0.14165659880837184,0.4549228149942527
D_chunk_plus_state_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,arm,23377,14655,8722,0.6268982333062412,0.8337999705994895,0.8939517607791937,0.16499651613569677,0.07300019217240954,False,,0.18496104456082757,0.10793909859524575
D_chunk_plus_state_plus_frozen_ACT_latent,monotone_conditional_survival_shared_mlp,gripper,23377,7318,16059,0.31304273431150276,0.9570219772909343,0.9151295493879705,0.07512732532196145,0.007612385724658669,False,,0.14165659880837184,0.46965177793382495
constant_prior|train_only,baseline,arm,23377,14655,8722,0.6268982333062412,0.5,0.595757113558373,0.2561306788634357,0.14911016222806844,False,,0.18496104456082757,-0.38478174943050125
constant_prior|train_only,baseline,gripper,23377,7318,16059,0.31304273431150276,0.5,0.29462176401421986,0.24218800679264404,0.16474533676666997,False,,0.14165659880837184,-0.7096839033970288
empirical_group_offset_prior_train_only|train_only,baseline,arm,23377,14655,8722,0.6268982333062412,0.7737673789053763,0.8660904541588801,0.18496104456082757,0.031375991809622736,False,,0.18496104456082757,0.0
empirical_group_offset_prior_train_only|train_only,baseline,gripper,23377,7318,16059,0.31304273431150276,0.8465138271808277,0.7196768510719636,0.14165659880837184,0.008933119904311365,False,,0.14165659880837184,0.0
