condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,1,337,337,0,1.0,nan,nan,0.00025912116655399685,0.005955104479164235,True,one_label_class,0.0,nan
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,2,335,335,0,1.0,nan,nan,0.0006306455891472276,0.009263284229837122,True,one_label_class,1.0971696205580633e-07,-5746.9315625459685
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,3,332,331,1,0.9969879518072289,0.8761329305135952,0.9996024177014149,0.0036303401454325225,0.007853940976520833,False,,0.003004796264678611,-0.20818179525420133
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,4,330,329,1,0.996969696969697,0.8571428571428571,0.9995337556256516,0.00397944690069008,0.010382984205959211,False,,0.003022871542024776,-0.3164459175213816
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,5,330,328,2,0.9939393939393939,0.9298780487804879,0.9995590439545273,0.0066794028870867895,0.009178361924230482,False,,0.006024325535756637,-0.10873870401624597
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,6,329,325,4,0.9878419452887538,0.8692307692307693,0.9982247498150152,0.012413304642769653,0.010705543874553922,False,,0.01201067190430174,-0.03352291542688013
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,7,328,323,5,0.9847560975609756,0.7009287925696595,0.9921410394932183,0.016607404295022173,0.017174360650522715,False,,0.015017613294873156,-0.10586176171494266
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,8,325,318,7,0.9784615384615385,0.7313566936208445,0.9902667037108629,0.023339516070910667,0.021970871271155844,False,,0.021126667479450995,-0.1047419614859757
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,9,325,311,14,0.9569230769230769,0.7563160312356454,0.9839040998010725,0.04087018502186162,0.02086707439123735,False,,0.04122266349263274,0.008550599134238723
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,10,324,303,21,0.9351851851851852,0.7804494735187805,0.9786059608662852,0.05703537305153478,0.01724777999193886,False,,0.060791990770155735,0.0617946158865581
