condition,model,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,1,674,651,23,0.9658753709198813,0.9431643625192012,0.9978943435868237,0.0305123653453866,0.026431583273974813,False,,0.03179571857208507,0.040362453950802735
A_chunk_only,monotone_conditional_survival_shared_mlp,2,670,631,39,0.9417910447761194,0.9426632532813198,0.9963831634286746,0.04265723370418302,0.01611673494108095,False,,0.05143357304355249,0.17063444789141746
A_chunk_only,monotone_conditional_survival_shared_mlp,3,664,611,53,0.9201807228915663,0.9457740172312633,0.9951905469988847,0.04956830689185618,0.024978527688696586,False,,0.06756963163777621,0.2664114678384012
A_chunk_only,monotone_conditional_survival_shared_mlp,4,660,601,59,0.9106060606060606,0.9520009024507178,0.9951757181584934,0.04875236533591773,0.03145090554482314,False,,0.07396341138387637,0.34085834571787355
A_chunk_only,monotone_conditional_survival_shared_mlp,5,660,593,67,0.8984848484848484,0.9572374216606679,0.9950945091956581,0.0487150112277554,0.021197253419239413,False,,0.08221218546861095,0.4074478016843981
A_chunk_only,monotone_conditional_survival_shared_mlp,6,658,581,77,0.8829787234042553,0.9524107561973311,0.9933940579428391,0.05277647449864349,0.023745687516578726,False,,0.09249116610700348,0.42938902470333074
A_chunk_only,monotone_conditional_survival_shared_mlp,7,656,574,82,0.875,0.9441233959377922,0.9895381532736716,0.05288594497497537,0.029384319031488085,False,,0.09771934490594321,0.4587975899154959
A_chunk_only,monotone_conditional_survival_shared_mlp,8,650,564,86,0.8676923076923077,0.9319231403595579,0.9842189440603032,0.060560795913443995,0.04480360665778742,False,,0.1034447791798012,0.41455918419835347
A_chunk_only,monotone_conditional_survival_shared_mlp,9,650,550,100,0.8461538461538461,0.9188727272727273,0.9785963153087917,0.06717621923944928,0.03463287550734056,False,,0.11888577654447553,0.4349515880537783
A_chunk_only,monotone_conditional_survival_shared_mlp,10,648,535,113,0.8256172839506173,0.9086758746174841,0.9719018153037349,0.07797746064391363,0.033119020337021056,False,,0.13272718288788818,0.41249818652612
A_chunk_only,monotone_conditional_survival_shared_mlp,11,644,524,120,0.8136645962732919,0.9020515267175573,0.9667966717733049,0.08269654859538575,0.034249423620175044,False,,0.14156975501489297,0.41586005720864483
A_chunk_only,monotone_conditional_survival_shared_mlp,12,642,516,126,0.8037383177570093,0.9024701611910915,0.9637539371595626,0.08650644986639995,0.020698719696984585,False,,0.148819001092084,0.41871367747675736
A_chunk_only,monotone_conditional_survival_shared_mlp,13,636,490,146,0.7704402515723271,0.8857422421023203,0.9505505371575418,0.10071962630756282,0.029803100671067877,False,,0.16762267561403082,0.3991288712066585
A_chunk_only,monotone_conditional_survival_shared_mlp,14,630,476,154,0.7555555555555555,0.8789152024446142,0.9446510869406552,0.10947063226599968,0.042088986122134846,False,,0.17516838708306176,0.3750548595615564
A_chunk_only,monotone_conditional_survival_shared_mlp,15,628,459,169,0.7308917197452229,0.887818901393562,0.9405664460929956,0.10717545298105773,0.02924246800728136,False,,0.18418948609162755,0.4181239371733637
A_chunk_only,monotone_conditional_survival_shared_mlp,16,624,446,178,0.7147435897435898,0.8902478964075176,0.9371597801002894,0.11001736969134186,0.03060470730274578,False,,0.18916174852867754,0.41839525936363997
A_chunk_only,monotone_conditional_survival_shared_mlp,17,622,435,187,0.6993569131832797,0.8861024033437827,0.9258525130433287,0.11190669462796744,0.038414002886749794,False,,0.19316626380514185,0.42067164098150034
A_chunk_only,monotone_conditional_survival_shared_mlp,18,618,417,201,0.6747572815533981,0.8919550926423041,0.9242574351191367,0.11162444485482385,0.039936776086591755,False,,0.19511600265432533,0.4279072790734555
A_chunk_only,monotone_conditional_survival_shared_mlp,19,618,408,210,0.6601941747572816,0.8965686274509804,0.9238116811806778,0.10741818262447062,0.04487835354853081,False,,0.1973615027386028,0.45572879647789477
A_chunk_only,monotone_conditional_survival_shared_mlp,20,612,396,216,0.6470588235294118,0.8969439768050879,0.9209911723000267,0.1093522302169811,0.041652532447450936,False,,0.19973326552219994,0.4525086748515268
A_chunk_only,monotone_conditional_survival_shared_mlp,21,612,392,220,0.6405228758169934,0.8955936920222635,0.9175441747501851,0.1116818942921772,0.03939685096510219,False,,0.20285209695560347,0.4494417559971289
A_chunk_only,monotone_conditional_survival_shared_mlp,22,612,383,229,0.6258169934640523,0.8820960698689956,0.9019680673847953,0.12168283564380264,0.040688331009854806,False,,0.20385935715860218,0.4031039961087799
A_chunk_only,monotone_conditional_survival_shared_mlp,23,610,364,246,0.5967213114754099,0.8853077816492451,0.8964835500414742,0.12463667453639767,0.037478707703975336,False,,0.20740007699302235,0.3990519369932979
A_chunk_only,monotone_conditional_survival_shared_mlp,24,606,350,256,0.5775577557755776,0.8866741071428571,0.8913849828597715,0.12762777291625058,0.04454533198453035,False,,0.2078626614666031,0.3859995248027924
A_chunk_only,monotone_conditional_survival_shared_mlp,25,600,341,259,0.5683333333333334,0.8837283030831418,0.8832270539961945,0.13032049279237723,0.05383178719805905,False,,0.21052205428393125,0.3809651286386656
A_chunk_only,monotone_conditional_survival_shared_mlp,26,592,326,266,0.5506756756756757,0.8874025554684256,0.8798206508627201,0.128577289423598,0.04867629162678373,False,,0.21242368502578124,0.3947130264311489
A_chunk_only,monotone_conditional_survival_shared_mlp,27,588,318,270,0.5408163265306123,0.8814931283484743,0.8694598340467831,0.13405838198513473,0.05175537039913306,False,,0.21420481301986444,0.3741579374656594
A_chunk_only,monotone_conditional_survival_shared_mlp,28,582,305,277,0.5240549828178694,0.8743682310469314,0.8544345282737009,0.14044156513327882,0.040988322067817995,False,,0.21390880519031513,0.3434512197460612
A_chunk_only,monotone_conditional_survival_shared_mlp,29,578,298,280,0.5155709342560554,0.8746284755512943,0.8519169921142451,0.1425716270313549,0.05262799642276143,False,,0.21149132516581798,0.3258748229055124
A_chunk_only,monotone_conditional_survival_shared_mlp,30,578,288,290,0.4982698961937716,0.8690134099616859,0.8430838315204086,0.14704196343837833,0.05752078512394683,False,,0.21350275626001258,0.3112877509679337
A_chunk_only,monotone_conditional_survival_shared_mlp,31,576,277,299,0.4809027777777778,0.8654600775147,0.8141190888708746,0.14924852090045915,0.058995415718570934,False,,0.2107840532885545,0.29193637482554624
A_chunk_only,monotone_conditional_survival_shared_mlp,32,574,275,299,0.47909407665505227,0.8638856795378534,0.8128848883352259,0.15020907970737768,0.05963397296500506,False,,0.21165164669065356,0.29030044388494314
A_chunk_only,monotone_conditional_survival_shared_mlp,33,568,261,307,0.4595070422535211,0.8552173424688307,0.7853737623457463,0.1540752309075804,0.06128809767814175,False,,0.21013112819491803,0.26676627003753606
A_chunk_only,monotone_conditional_survival_shared_mlp,34,568,252,316,0.44366197183098594,0.8570047217199116,0.7868706138051688,0.1551930303463952,0.06977977711212983,False,,0.20995071780074956,0.26081209927713267
