task_id,blocks,Fresh_successes,FO20_successes,FullOld20_successes,AGE_EXP_B003_successes,COGACT_A03_successes,Fresh_success_rate,FO20_success_rate,FullOld20_success_rate,AGE_EXP_B003_success_rate,COGACT_A03_success_rate,FO20_minus_Fresh,FO20_minus_FullOld20
0,10,8,7,7,6,1,0.8,0.7,0.7,0.6,0.1,-1,0
1,10,4,4,3,4,0,0.4,0.4,0.3,0.4,0.0,0,1
2,10,9,9,5,7,4,0.9,0.9,0.5,0.7,0.4,0,4
3,10,7,8,7,8,6,0.7,0.8,0.7,0.8,0.6,1,1
4,10,3,2,1,1,1,0.3,0.2,0.1,0.1,0.1,-1,1
5,10,0,0,1,0,0,0.0,0.0,0.1,0.0,0.0,0,-1
6,10,7,6,5,9,3,0.7,0.6,0.5,0.9,0.3,-1,1
7,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
8,10,2,4,1,5,2,0.2,0.4,0.1,0.5,0.2,2,3
9,10,0,0,0,2,1,0.0,0.0,0.0,0.2,0.1,0,0
