task_key,split,H_temp,delay_steps,fresh_success_rate,fo_success_rate,reverse_success_rate,full_old_success_rate,FO_minus_Reverse,abs_FO_minus_Reverse,FullOld_minus_Fresh
libero_object:task3,development,0.16335311134656266,4,0.9,1.0,0.9,0.9,0.09999999999999998,0.09999999999999998,0.0
libero_object:task5,held_out,0.09544870704412457,4,0.8,0.8,0.7,0.9,0.10000000000000009,0.10000000000000009,0.09999999999999998
libero_spatial:task0,development,0.21467979550361635,4,0.6,0.7,0.7,0.7,0.0,0.0,0.09999999999999998
libero_spatial:task4,held_out,0.24732497533162437,4,0.8,0.9,0.8,0.8,0.09999999999999998,0.09999999999999998,0.0
libero_goal:task2,development,0.2464374214410782,4,0.9,0.7,0.8,1.0,-0.10000000000000009,0.10000000000000009,0.09999999999999998
libero_goal:task5,held_out,0.2943127209941547,4,0.9,0.9,0.9,0.9,0.0,0.0,0.0
libero_10:task3,development,0.23282331526279446,4,0.9,1.0,0.7,0.6,0.30000000000000004,0.30000000000000004,-0.30000000000000004
libero_10:task5,held_out,0.2749433696269989,4,0.8,0.8,1.0,1.0,-0.19999999999999996,0.19999999999999996,0.19999999999999996
libero_object:task3,development,0.16335311134656266,8,0.9,0.7,0.9,0.9,-0.20000000000000007,0.20000000000000007,0.0
libero_object:task5,held_out,0.09544870704412457,8,0.8,0.8,0.7,0.9,0.10000000000000009,0.10000000000000009,0.09999999999999998
libero_spatial:task0,development,0.21467979550361635,8,0.6,0.7,0.7,0.7,0.0,0.0,0.09999999999999998
libero_spatial:task4,held_out,0.24732497533162437,8,0.8,0.9,0.8,0.8,0.09999999999999998,0.09999999999999998,0.0
libero_goal:task2,development,0.2464374214410782,8,0.9,0.9,0.9,1.0,0.0,0.0,0.09999999999999998
libero_goal:task5,held_out,0.2943127209941547,8,0.9,1.0,0.9,1.0,0.09999999999999998,0.09999999999999998,0.09999999999999998
libero_10:task3,development,0.23282331526279446,8,0.9,0.5,0.5,0.5,0.0,0.0,-0.4
libero_10:task5,held_out,0.2749433696269989,8,0.8,1.0,1.0,1.0,0.0,0.0,0.19999999999999996
libero_object:task3,development,0.16335311134656266,16,0.9,0.9,0.5,0.9,0.4,0.4,0.0
libero_object:task5,held_out,0.09544870704412457,16,0.8,0.8,0.1,0.4,0.7000000000000001,0.7000000000000001,-0.4
libero_spatial:task0,development,0.21467979550361635,16,0.6,0.8,0.5,0.8,0.30000000000000004,0.30000000000000004,0.20000000000000007
libero_spatial:task4,held_out,0.24732497533162437,16,0.8,0.8,0.9,0.6,-0.09999999999999998,0.09999999999999998,-0.20000000000000007
libero_goal:task2,development,0.2464374214410782,16,0.9,0.9,1.0,0.9,-0.09999999999999998,0.09999999999999998,0.0
libero_goal:task5,held_out,0.2943127209941547,16,0.9,0.7,1.0,0.9,-0.30000000000000004,0.30000000000000004,0.0
libero_10:task3,development,0.23282331526279446,16,0.9,0.6,0.2,0.3,0.39999999999999997,0.39999999999999997,-0.6000000000000001
libero_10:task5,held_out,0.2749433696269989,16,0.8,0.6,0.8,1.0,-0.20000000000000007,0.20000000000000007,0.19999999999999996
