task_key,split,group,delay_steps,valid_target_count,valid_episodes,utility,utility_sd_across_episodes,revision_or_abs_diff,revision_or_abs_diff_sd_across_episodes,translation_revision,rotation_revision,gripper_sign_disagreement
libero_object:task3,development,arm,0,1501,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_object:task3,development,arm,4,1461,10,0.700374859571457,0.013188744186367141,0.29962511658668517,0.013188750554772017,0.3209427922964096,0.602439695596695,0.08873274251818657
libero_object:task3,development,arm,8,1421,10,0.7041606545448303,0.014477371797368114,0.2958393573760986,0.014477381318430207,0.32261510789394376,0.5863242268562316,0.09543562531471253
libero_object:task3,development,arm,16,1341,10,0.6946608424186707,0.020385796803891947,0.3053391486406326,0.02038580284433833,0.3510580748319626,0.6002907872200012,0.10911664590239525
libero_object:task3,development,arm,20,1301,10,0.6879204392433167,0.01963117874664527,0.31207955777645113,0.019631164285361748,0.36274691224098204,0.6190810084342957,0.10756722204387188
libero_object:task3,development,arm,32,1181,10,0.6708980977535248,0.026717144616873904,0.3291019380092621,0.02671713490913194,0.4181713342666626,0.6579420626163482,0.13831576481461524
libero_object:task3,development,gripper,0,1501,10,1.0,0.0,0.0,0.0,,,0.0
libero_object:task3,development,gripper,4,1461,10,0.9069262444972992,0.03989911683634012,0.18660669811069966,0.08013796852135446,,,0.08873274251818657
libero_object:task3,development,gripper,8,1421,10,0.9002696633338928,0.04404241795303927,0.20012889355421065,0.08849539001830393,,,0.09543562531471253
libero_object:task3,development,gripper,16,1341,10,0.8862588167190552,0.04162654003337877,0.22832051888108254,0.08354452243496893,,,0.10911664590239525
libero_object:task3,development,gripper,20,1301,10,0.8877481937408447,0.04790268898546206,0.2253319226205349,0.09617840687091671,,,0.10756722204387188
libero_object:task3,development,gripper,32,1181,10,0.8569306433200836,0.056291029535988364,0.28712401539087296,0.11298823295930217,,,0.13831576481461524
libero_object:task5,held_out,arm,0,1882,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libero_object:task5,held_out,arm,4,1842,10,0.6733990848064423,0.01996228820606854,0.3266009002923965,0.0199622868179433,0.387349796295166,0.6690953612327576,0.16514155119657517
libero_object:task5,held_out,arm,8,1802,10,0.6689438223838806,0.023561792061714815,0.33105615973472596,0.023561780967983625,0.4112223297357559,0.6686821937561035,0.19808882474899292
libero_object:task5,held_out,arm,16,1722,10,0.6483706712722779,0.03463091149479946,0.3516293317079544,0.034630935687915664,0.48496990501880644,0.7169926941394806,0.23659010604023933
libero_object:task5,held_out,arm,20,1682,10,0.640197092294693,0.03639314021817929,0.35980287194252014,0.0363931398383442,0.5229901760816574,0.7232701718807221,0.26548202708363533
libero_object:task5,held_out,arm,32,1562,10,0.6162207305431366,0.057456010727479766,0.3837792694568634,0.057456007549694876,0.6791259616613388,0.730741161108017,0.2990014895796776
libero_object:task5,held_out,gripper,0,1882,10,1.0,0.0,0.0,0.0,,,0.0
libero_object:task5,held_out,gripper,4,1842,10,0.8313549518585205,0.0862395974829789,0.3379831790924072,0.17284931370065862,,,0.16514155119657517
libero_object:task5,held_out,gripper,8,1802,10,0.7987873435020447,0.0969471230313281,0.4034716099500656,0.1943606099032636,,,0.19808882474899292
libero_object:task5,held_out,gripper,16,1722,10,0.7593921303749085,0.13679557500554493,0.4822817012667656,0.27406785343971857,,,0.23659010604023933
libero_object:task5,held_out,gripper,20,1682,10,0.7323602110147476,0.14823675689585097,0.5362173601984978,0.2968096959322586,,,0.26548202708363533
libero_object:task5,held_out,gripper,32,1562,10,0.6979290068149566,0.1483363236971786,0.6053159415721894,0.29682874005978466,,,0.2990014895796776
libero_spatial:task0,development,arm,0,1568,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
