task_id,q,method,episodes,successes,success_rate,success_rate_ci95_low,success_rate_ci95_high,paired_selective_minus_global_delta,paired_bootstrap_ci_low,paired_bootstrap_ci_high
0,4,global_replace,20,17,0.85,0.6395811352592431,0.9476312541037835,-0.65,-0.85,-0.45
0,4,selective_commit,20,4,0.2,0.08065766257979806,0.41601743225189364,-0.65,-0.85,-0.45
1,4,global_replace,20,10,0.5,0.2992980081982123,0.7007019918017877,-0.4,-0.6,-0.2
1,4,selective_commit,20,2,0.1,0.027866481213768224,0.3010336452284873,-0.4,-0.6,-0.2
2,4,global_replace,20,15,0.75,0.531299122381256,0.8881382985923343,-0.3,-0.55,0.0
2,4,selective_commit,20,9,0.45,0.2581978582556243,0.6579146575496577,-0.3,-0.55,0.0
3,4,global_replace,20,15,0.75,0.531299122381256,0.8881382985923343,0.0,-0.3,0.3
3,4,selective_commit,20,15,0.75,0.531299122381256,0.8881382985923343,0.0,-0.3,0.3
4,4,global_replace,20,16,0.8,0.5839825677481064,0.919342337420202,-0.5,-0.75,-0.25
4,4,selective_commit,20,6,0.3,0.1454772448676043,0.5189728183535235,-0.5,-0.75,-0.25
5,4,global_replace,20,10,0.5,0.2992980081982123,0.7007019918017877,0.1,-0.25,0.45
5,4,selective_commit,20,12,0.6,0.3865815007622531,0.781193467627183,0.1,-0.25,0.45
6,4,global_replace,20,10,0.5,0.2992980081982123,0.7007019918017877,0.05,-0.25,0.35
6,4,selective_commit,20,11,0.55,0.34208534245034233,0.7418021417443759,0.05,-0.25,0.35
7,4,global_replace,20,10,0.5,0.2992980081982123,0.7007019918017877,-0.15,-0.45,0.15
7,4,selective_commit,20,7,0.35,0.18119182410108206,0.5671457233147638,-0.15,-0.45,0.15
8,4,global_replace,20,8,0.4,0.21880653237281705,0.6134184992377469,-0.35,-0.55,-0.15
8,4,selective_commit,20,1,0.05,0.008881448800795402,0.23613119344674205,-0.35,-0.55,-0.15
9,4,global_replace,20,18,0.9,0.6989663547715128,0.9721335187862319,-0.4,-0.65,-0.15
9,4,selective_commit,20,10,0.5,0.2992980081982123,0.7007019918017877,-0.4,-0.65,-0.15
0,8,global_replace,20,18,0.9,0.6989663547715128,0.9721335187862319,-0.6,-0.8,-0.4
0,8,selective_commit,20,6,0.3,0.1454772448676043,0.5189728183535235,-0.6,-0.8,-0.4
1,8,global_replace,20,9,0.45,0.2581978582556243,0.6579146575496577,0.0,-0.3,0.3
1,8,selective_commit,20,9,0.45,0.2581978582556243,0.6579146575496577,0.0,-0.3,0.3
2,8,global_replace,20,14,0.7,0.4810271816464765,0.8545227551323956,-0.3,-0.55,-0.05
2,8,selective_commit,20,8,0.4,0.21880653237281705,0.6134184992377469,-0.3,-0.55,-0.05
3,8,global_replace,20,16,0.8,0.5839825677481064,0.919342337420202,-0.15,-0.35,0.05
3,8,selective_commit,20,13,0.65,0.43285427668523624,0.818808175898918,-0.15,-0.35,0.05
4,8,global_replace,20,15,0.75,0.531299122381256,0.8881382985923343,-0.3,-0.55,-0.05
4,8,selective_commit,20,9,0.45,0.2581978582556243,0.6579146575496577,-0.3,-0.55,-0.05
