contrast,task,blocks,first_successes,second_successes,delta,delta_percentage_points,leave_one_task_out_delta
M2_VS_M0,libero_object:task1,11,9,9,0.0,0.0,-0.05042016806722689
M2_VS_M0,libero_object:task2,16,13,15,-0.125,-12.5,-0.03508771929824561
M2_VS_M0,libero_object:task3,16,15,14,0.0625,6.25,-0.06140350877192982
M2_VS_M0,libero_object:task4,11,10,10,0.0,0.0,-0.05042016806722689
M2_VS_M0,libero_object:task5,16,9,13,-0.25,-25.0,-0.017543859649122806
M2_VS_M0,libero_object:task6,12,7,7,0.0,0.0,-0.05084745762711865
M2_VS_M0,libero_object:task7,16,3,5,-0.125,-12.5,-0.03508771929824561
M2_VS_M0,libero_object:task8,16,7,7,0.0,0.0,-0.05263157894736842
M2_VS_M0,libero_object:task9,16,13,12,0.0625,6.25,-0.06140350877192982
M2_VS_FIXED_H13,libero_object:task1,11,9,10,-0.09090909090909091,-9.090909090909092,-0.06722689075630252
M2_VS_FIXED_H13,libero_object:task2,16,13,15,-0.125,-12.5,-0.06140350877192982
M2_VS_FIXED_H13,libero_object:task3,16,15,15,0.0,0.0,-0.07894736842105263
M2_VS_FIXED_H13,libero_object:task4,11,10,11,-0.09090909090909091,-9.090909090909092,-0.06722689075630252
M2_VS_FIXED_H13,libero_object:task5,16,9,12,-0.1875,-18.75,-0.05263157894736842
M2_VS_FIXED_H13,libero_object:task6,12,7,7,0.0,0.0,-0.07627118644067797
M2_VS_FIXED_H13,libero_object:task7,16,3,5,-0.125,-12.5,-0.06140350877192982
M2_VS_FIXED_H13,libero_object:task8,16,7,8,-0.0625,-6.25,-0.07017543859649122
M2_VS_FIXED_H13,libero_object:task9,16,13,12,0.0625,6.25,-0.08771929824561403
M2_VS_SHUFFLED,libero_object:task1,11,9,9,0.0,0.0,-0.03361344537815126
M2_VS_SHUFFLED,libero_object:task2,16,13,13,0.0,0.0,-0.03508771929824561
M2_VS_SHUFFLED,libero_object:task3,16,15,14,0.0625,6.25,-0.043859649122807015
M2_VS_SHUFFLED,libero_object:task4,11,10,10,0.0,0.0,-0.03361344537815126
M2_VS_SHUFFLED,libero_object:task5,16,9,13,-0.25,-25.0,0.0
M2_VS_SHUFFLED,libero_object:task6,12,7,6,0.08333333333333333,8.333333333333332,-0.0423728813559322
M2_VS_SHUFFLED,libero_object:task7,16,3,7,-0.25,-25.0,0.0
M2_VS_SHUFFLED,libero_object:task8,16,7,6,0.0625,6.25,-0.043859649122807015
M2_VS_SHUFFLED,libero_object:task9,16,13,12,0.0625,6.25,-0.043859649122807015
