scope,task,blocks,first_successes,second_successes,delta,delta_percentage_points,leave_one_task_out_delta
libero_spatial,libero_spatial:task0,4,2,1,0.25,25.0,0.027777777777777776
libero_spatial,libero_spatial:task1,4,3,4,-0.25,-25.0,0.08333333333333333
libero_spatial,libero_spatial:task2,4,3,2,0.25,25.0,0.027777777777777776
libero_spatial,libero_spatial:task3,4,3,3,0.0,0.0,0.05555555555555555
libero_spatial,libero_spatial:task4,4,3,3,0.0,0.0,0.05555555555555555
libero_spatial,libero_spatial:task5,4,4,4,0.0,0.0,0.05555555555555555
libero_spatial,libero_spatial:task6,4,3,3,0.0,0.0,0.05555555555555555
libero_spatial,libero_spatial:task7,4,4,3,0.25,25.0,0.027777777777777776
libero_spatial,libero_spatial:task8,4,3,3,0.0,0.0,0.05555555555555555
libero_spatial,libero_spatial:task9,4,3,3,0.0,0.0,0.05555555555555555
libero_object,libero_object:task0,4,4,4,0.0,0.0,0.05555555555555555
libero_object,libero_object:task1,4,3,4,-0.25,-25.0,0.08333333333333333
libero_object,libero_object:task2,4,3,4,-0.25,-25.0,0.08333333333333333
libero_object,libero_object:task3,4,3,3,0.0,0.0,0.05555555555555555
libero_object,libero_object:task4,4,4,4,0.0,0.0,0.05555555555555555
libero_object,libero_object:task5,4,3,2,0.25,25.0,0.027777777777777776
libero_object,libero_object:task6,4,4,4,0.0,0.0,0.05555555555555555
libero_object,libero_object:task7,4,4,2,0.5,50.0,0.0
libero_object,libero_object:task8,4,4,4,0.0,0.0,0.05555555555555555
libero_object,libero_object:task9,4,3,2,0.25,25.0,0.027777777777777776
libero_goal,libero_goal:task0,4,2,2,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task1,4,2,2,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task2,4,3,3,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task3,4,1,2,-0.25,-25.0,-0.027777777777777776
libero_goal,libero_goal:task4,4,4,3,0.25,25.0,-0.08333333333333333
libero_goal,libero_goal:task5,4,3,3,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task6,4,2,2,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task7,4,4,4,0.0,0.0,-0.05555555555555555
libero_goal,libero_goal:task8,4,3,4,-0.25,-25.0,-0.027777777777777776
libero_goal,libero_goal:task9,4,1,2,-0.25,-25.0,-0.027777777777777776
libero_10,libero_10:task0,4,2,0,0.5,50.0,-0.05555555555555555
libero_10,libero_10:task1,4,1,2,-0.25,-25.0,0.027777777777777776
libero_10,libero_10:task2,4,1,2,-0.25,-25.0,0.027777777777777776
libero_10,libero_10:task3,4,2,4,-0.5,-50.0,0.05555555555555555
libero_10,libero_10:task4,4,1,0,0.25,25.0,-0.027777777777777776
libero_10,libero_10:task5,4,3,3,0.0,0.0,0.0
libero_10,libero_10:task6,4,4,4,0.0,0.0,0.0
libero_10,libero_10:task7,4,2,2,0.0,0.0,0.0
libero_10,libero_10:task8,4,0,0,0.0,0.0,0.0
libero_10,libero_10:task9,4,3,2,0.25,25.0,-0.027777777777777776
pooled,libero_10:task0,4,2,0,0.5,50.0,0.0
pooled,libero_10:task1,4,1,2,-0.25,-25.0,0.019230769230769232
pooled,libero_10:task2,4,1,2,-0.25,-25.0,0.019230769230769232
pooled,libero_10:task3,4,2,4,-0.5,-50.0,0.02564102564102564
pooled,libero_10:task4,4,1,0,0.25,25.0,0.00641025641025641
pooled,libero_10:task5,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_10:task6,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_10:task7,4,2,2,0.0,0.0,0.01282051282051282
pooled,libero_10:task8,4,0,0,0.0,0.0,0.01282051282051282
pooled,libero_10:task9,4,3,2,0.25,25.0,0.00641025641025641
pooled,libero_goal:task0,4,2,2,0.0,0.0,0.01282051282051282
pooled,libero_goal:task1,4,2,2,0.0,0.0,0.01282051282051282
pooled,libero_goal:task2,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_goal:task3,4,1,2,-0.25,-25.0,0.019230769230769232
pooled,libero_goal:task4,4,4,3,0.25,25.0,0.00641025641025641
pooled,libero_goal:task5,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_goal:task6,4,2,2,0.0,0.0,0.01282051282051282
pooled,libero_goal:task7,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_goal:task8,4,3,4,-0.25,-25.0,0.019230769230769232
pooled,libero_goal:task9,4,1,2,-0.25,-25.0,0.019230769230769232
pooled,libero_object:task0,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_object:task1,4,3,4,-0.25,-25.0,0.019230769230769232
pooled,libero_object:task2,4,3,4,-0.25,-25.0,0.019230769230769232
pooled,libero_object:task3,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_object:task4,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_object:task5,4,3,2,0.25,25.0,0.00641025641025641
pooled,libero_object:task6,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_object:task7,4,4,2,0.5,50.0,0.0
pooled,libero_object:task8,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_object:task9,4,3,2,0.25,25.0,0.00641025641025641
pooled,libero_spatial:task0,4,2,1,0.25,25.0,0.00641025641025641
pooled,libero_spatial:task1,4,3,4,-0.25,-25.0,0.019230769230769232
pooled,libero_spatial:task2,4,3,2,0.25,25.0,0.00641025641025641
pooled,libero_spatial:task3,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_spatial:task4,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_spatial:task5,4,4,4,0.0,0.0,0.01282051282051282
pooled,libero_spatial:task6,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_spatial:task7,4,4,3,0.25,25.0,0.00641025641025641
pooled,libero_spatial:task8,4,3,3,0.0,0.0,0.01282051282051282
pooled,libero_spatial:task9,4,3,3,0.0,0.0,0.01282051282051282
