family,condition,group,trajectory_count,mean_trajectory_d1_mean,mean_trajectory_d1_median,mean_trajectory_d2_mean,mean_trajectory_d2_median,mean_trajectory_gripper_state_switch_probability
confirmation,FRESH,gripper,140,0.03248587603751962,0.004149812885693141,0.04187987748118351,0.004711817391216755,0.011797658836181585
confirmation,FRESH,rotation,140,0.004494260383837966,0.0031803791434428506,0.0034448565225305636,0.0024176556314750566,
confirmation,FRESH,translation,140,0.03357827793090019,0.027110110617458574,0.021243270441262802,0.015282726215114522,
confirmation,HARD_H16,gripper,140,0.06366190471987321,0.005563518192086901,0.09102772483404216,0.006573797389864922,0.027688072139215356
confirmation,HARD_H16,rotation,140,0.005657906276032923,0.004044278323832866,0.004285306889401822,0.002331308519505172,
confirmation,HARD_H16,translation,140,0.04274711259709252,0.033770401173268814,0.028406495196735448,0.015607193219326998,
confirmation,REVERSE20,gripper,140,0.023827042542227072,0.004661822265812329,0.03127823447471417,0.005916116360042777,0.008276034345466646
confirmation,REVERSE20,rotation,140,0.003932880054316592,0.0024477813505977006,0.003320519459228642,0.0022313823054449684,
confirmation,REVERSE20,translation,140,0.028476504103107033,0.019669578548284154,0.02128152796846056,0.013945109660892794,
track_a,ARM2_GRIP16,gripper,450,0.044659461292295664,0.005364566842714946,0.06108020418009783,0.005853914601935281,0.01787176509855204
track_a,ARM2_GRIP16,rotation,450,0.005960641553882376,0.004658056597737596,0.005940251722890749,0.004740424792016759,
track_a,ARM2_GRIP16,translation,450,0.0445845584220034,0.037347973140856666,0.039124127107238185,0.030312251830771332,
track_a,ARM4_GRIP32,gripper,450,0.039678693809584,0.0048122660153441955,0.05241138524294715,0.0049042274140649374,0.015695558418914818
track_a,ARM4_GRIP32,rotation,450,0.006396476128227451,0.004829075282115208,0.0057936230556600654,0.0036201054956837343,
track_a,ARM4_GRIP32,translation,450,0.04768010873427959,0.03828078057356928,0.037864452732045736,0.022691815755086952,
track_a,H2,gripper,450,0.04512170295099197,0.00889601919386122,0.07444524798555398,0.015327593315806654,0.018700803708469462
track_a,H2,rotation,450,0.005836388587569541,0.004652809540464678,0.006032440413629736,0.004993186453601871,
track_a,H2,translation,450,0.043414924615214685,0.03667817322305393,0.039346599061216826,0.03137176297206129,
track_a,H4,gripper,450,0.05271892258988238,0.009472790070705943,0.08003381789084008,0.014356601879828505,0.021077145192181783
track_a,H4,rotation,450,0.006299687681192922,0.0047949899089928276,0.005763998627357025,0.0036193258784659346,
track_a,H4,translation,450,0.04644916733987919,0.037656782324728195,0.036722563248744435,0.022394658149477824,
