family,contrast,first,second,group,metric,paired_block_count,task_count,mean_paired_difference,median_paired_difference,task_cluster_ci_low,task_cluster_ci_high
confirmation,Fresh-A20G0,FRESH,REVERSE20,translation,d1_mean,140,10,0.0051017738277931565,0.0010289405277988965,0.0005349692688062404,0.010217794631807409
confirmation,Fresh-A20G0,FRESH,REVERSE20,translation,d1_median,140,10,0.00744053206917442,0.003123549802211293,0.002683656704761173,0.01310573849567772
confirmation,Fresh-A20G0,FRESH,REVERSE20,translation,d2_mean,140,10,-3.8257527197758935e-05,-0.0012574089489640946,-0.002833580241212566,0.0028615814060053324
confirmation,Fresh-A20G0,FRESH,REVERSE20,translation,d2_median,140,10,0.0013376165542217295,0.0004097094245550017,-0.0001156183163653608,0.00304940688481816
confirmation,Fresh-A20G0,FRESH,REVERSE20,rotation,d1_mean,140,10,0.0005613803295213752,0.00027049606950420215,0.00016584634277232066,0.0009864798662885066
confirmation,Fresh-A20G0,FRESH,REVERSE20,rotation,d1_median,140,10,0.0007325977928451504,0.0004013977467615571,0.0003622533351493371,0.0011407652493706675
confirmation,Fresh-A20G0,FRESH,REVERSE20,rotation,d2_mean,140,10,0.00012433706330192075,0.00011186324672940299,-0.00014583225777744054,0.0004186638295039762
confirmation,Fresh-A20G0,FRESH,REVERSE20,rotation,d2_median,140,10,0.00018627332603008778,0.0001505292685688984,-1.2290812990962013e-05,0.00042050985823350977
confirmation,Fresh-A20G0,FRESH,REVERSE20,gripper,d1_mean,140,10,0.008658833495292551,0.002340008538929024,0.002458150792029401,0.014951420602066617
confirmation,Fresh-A20G0,FRESH,REVERSE20,gripper,d1_median,140,10,-0.0005120093801191874,-6.434321403503418e-05,-0.0019420881888696125,0.0006437416587557112
confirmation,Fresh-A20G0,FRESH,REVERSE20,gripper,d2_mean,140,10,0.01060164300646934,0.006284195548986819,0.0008801334948446044,0.02068833535619085
confirmation,Fresh-A20G0,FRESH,REVERSE20,gripper,d2_median,140,10,-0.0012042989688260215,-0.00016134977340698242,-0.0033745994658342425,0.00046622099554432167
confirmation,Fresh-A20G0,FRESH,REVERSE20,gripper,gripper_state_switch_probability,140,10,0.003521624490714938,0.0011610466971598774,0.0002773133361344906,0.006344759232560074
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,translation,d1_mean,140,10,-0.009168834666192333,-0.005562909830728293,-0.01385776157289266,-0.004887525375673389
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,translation,d1_median,140,10,-0.00666029055581024,-0.004952496774519668,-0.010513493468068234,-0.002907688525014956
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,translation,d2_mean,140,10,-0.007163224755472648,-0.0038422473082608682,-0.011223188605985686,-0.003670509947275458
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,translation,d2_median,140,10,-0.00032446700421247444,-0.0001204994307879995,-0.0019274338644229237,0.0012066105746100229
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,rotation,d1_mean,140,10,-0.0011636458921949577,-0.0007710727911093562,-0.0016252225552055226,-0.0007171568441334132
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,rotation,d1_median,140,10,-0.0008638991803900153,-0.000610845423064534,-0.00129454508563508,-0.00046218800054998404
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,rotation,d2_mean,140,10,-0.0008404503668712591,-0.000688964602058919,-0.0012733255649541235,-0.00044961627935546895
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,rotation,d2_median,140,10,8.634711196988422e-05,8.693139872225351e-05,-0.0002036090913916203,0.00040539087626950633
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,gripper,d1_mean,140,10,-0.031176028682353574,-0.004301080092725416,-0.053364621347179286,-0.01244715855286548
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,gripper,d1_median,140,10,-0.0014137053063937597,-0.0007883906364440918,-0.002288040018507412,-0.000634957253932953
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,gripper,d2_mean,140,10,-0.04914784735285865,-0.018183300561048346,-0.08046167714239688,-0.022448448576539447
confirmation,Fresh-coherent_H16,FRESH,HARD_H16,gripper,d2_median,140,10,-0.0018619799986481667,-0.00070953369140625,-0.0035345001904559985,-0.0004498447471165248
