family,condition,group,source_comparison_status,source_chunk_switch_count,same_source_chunk_count,d1_switch_mean,d1_same_source_mean,d1_switch_minus_same_source
confirmation,FRESH,gripper,STRUCTURALLY_UNAVAILABLE,40166,0,,,
confirmation,FRESH,rotation,STRUCTURALLY_UNAVAILABLE,40166,0,,,
confirmation,FRESH,translation,STRUCTURALLY_UNAVAILABLE,40166,0,,,
confirmation,HARD_H16,gripper,AVAILABLE,2150,33325,0.4982832641007249,0.056820834657961235,0.44146242944276365
confirmation,HARD_H16,rotation,AVAILABLE,2150,33325,0.017007504264263763,0.0040041451669182646,0.013003359097345499
confirmation,HARD_H16,translation,AVAILABLE,2150,33325,0.13368435066485093,0.030752744005893153,0.10293160665895779
confirmation,REVERSE20,gripper,STRUCTURALLY_UNAVAILABLE,49276,0,,,
confirmation,REVERSE20,rotation,STRUCTURALLY_UNAVAILABLE,49276,0,,,
confirmation,REVERSE20,translation,STRUCTURALLY_UNAVAILABLE,49276,0,,,
track_a,ARM2_GRIP16,gripper,AVAILABLE,5960,92858,0.30094059909937665,0.04040144195376128,0.2605391571456154
track_a,ARM2_GRIP16,rotation,AVAILABLE,49274,49544,0.005883796315647925,0.004577899660460894,0.0013058966551870305
track_a,ARM2_GRIP16,translation,AVAILABLE,49274,49544,0.041129831640740085,0.03397421936973986,0.007155612271000228
track_a,ARM4_GRIP32,gripper,AVAILABLE,2776,92975,0.4106486808684432,0.03635126424021268,0.3742974166282305
track_a,ARM4_GRIP32,rotation,AVAILABLE,23727,72024,0.009205419280780487,0.004730567309406624,0.004474851971373863
track_a,ARM4_GRIP32,translation,AVAILABLE,23727,72024,0.0649292019240129,0.03455032324405565,0.03037887867995725
track_a,H2,gripper,AVAILABLE,52787,53084,0.04843835586585878,0.04725777263122995,0.0011805832346288361
track_a,H2,rotation,AVAILABLE,52787,53084,0.00551027932359248,0.00453724791122146,0.0009730314123710202
track_a,H2,translation,AVAILABLE,52787,53084,0.03713741027759238,0.03272170982099737,0.004415700456595013
track_a,H4,gripper,AVAILABLE,24865,75479,0.11471715998844664,0.049099191460651295,0.06561796852779535
track_a,H4,rotation,AVAILABLE,24865,75479,0.00883529397151398,0.004567577463700008,0.004267716507813972
track_a,H4,translation,AVAILABLE,24865,75479,0.05890041977513594,0.03263383121255453,0.026266588562581406
