family,contrast,group,metric,task,mean_paired_difference
confirmation,Fresh-A20G0,translation,d1_mean,libero_10:task0,-0.004721245657416248
confirmation,Fresh-A20G0,translation,d1_mean,libero_10:task2,0.0019572177029818735
confirmation,Fresh-A20G0,translation,d1_mean,libero_10:task4,0.004565459707566469
confirmation,Fresh-A20G0,translation,d1_mean,libero_10:task6,0.005028678314055697
confirmation,Fresh-A20G0,translation,d1_mean,libero_10:task7,-0.004605079896641609
confirmation,Fresh-A20G0,translation,d1_mean,libero_goal:task4,0.015806315203032432
confirmation,Fresh-A20G0,translation,d1_mean,libero_goal:task6,0.020939347577853696
confirmation,Fresh-A20G0,translation,d1_mean,libero_goal:task7,0.0002569593981956442
confirmation,Fresh-A20G0,translation,d1_mean,libero_goal:task8,0.009602443044884574
confirmation,Fresh-A20G0,translation,d1_mean,libero_goal:task9,0.0021876428834190454
confirmation,Fresh-A20G0,translation,d1_median,libero_10:task0,-0.0015318583615597807
confirmation,Fresh-A20G0,translation,d1_median,libero_10:task2,0.004099819412473542
confirmation,Fresh-A20G0,translation,d1_median,libero_10:task4,0.004661535921660437
confirmation,Fresh-A20G0,translation,d1_median,libero_10:task6,0.005013627938884735
confirmation,Fresh-A20G0,translation,d1_median,libero_10:task7,-0.0004720305800460399
confirmation,Fresh-A20G0,translation,d1_median,libero_goal:task4,0.017130771296307468
confirmation,Fresh-A20G0,translation,d1_median,libero_goal:task6,0.027530552739420944
confirmation,Fresh-A20G0,translation,d1_median,libero_goal:task7,0.0016590074657575535
confirmation,Fresh-A20G0,translation,d1_median,libero_goal:task8,0.011840654401433863
confirmation,Fresh-A20G0,translation,d1_median,libero_goal:task9,0.004473240457411466
confirmation,Fresh-A20G0,translation,d2_mean,libero_10:task0,-0.006659049596725167
confirmation,Fresh-A20G0,translation,d2_mean,libero_10:task2,-0.002159114931512051
confirmation,Fresh-A20G0,translation,d2_mean,libero_10:task4,0.00186763324673492
confirmation,Fresh-A20G0,translation,d2_mean,libero_10:task6,0.0014622480040587607
confirmation,Fresh-A20G0,translation,d2_mean,libero_10:task7,-0.005616161902322993
confirmation,Fresh-A20G0,translation,d2_mean,libero_goal:task4,0.008864179712264539
confirmation,Fresh-A20G0,translation,d2_mean,libero_goal:task6,0.0056554971236678925
confirmation,Fresh-A20G0,translation,d2_mean,libero_goal:task7,-0.003949935581588208
confirmation,Fresh-A20G0,translation,d2_mean,libero_goal:task8,-0.0009565328961887587
confirmation,Fresh-A20G0,translation,d2_mean,libero_goal:task9,0.0011086615496334765
confirmation,Fresh-A20G0,translation,d2_median,libero_10:task0,-0.0020613456913888455
confirmation,Fresh-A20G0,translation,d2_median,libero_10:task2,4.2606807532649594e-05
confirmation,Fresh-A20G0,translation,d2_median,libero_10:task4,0.0016058942305190807
confirmation,Fresh-A20G0,translation,d2_median,libero_10:task6,0.0015471751161553787
confirmation,Fresh-A20G0,translation,d2_median,libero_10:task7,-0.0007501085753291326
confirmation,Fresh-A20G0,translation,d2_median,libero_goal:task4,0.005079468989961184
confirmation,Fresh-A20G0,translation,d2_median,libero_goal:task6,0.006902476315967786
confirmation,Fresh-A20G0,translation,d2_median,libero_goal:task7,0.00010935068793419647
confirmation,Fresh-A20G0,translation,d2_median,libero_goal:task8,-0.00020075606176788108
