family,condition,task,block_id,group,environment_steps,d1_count,d1_mean,d1_median,d2_count,d2_mean,d2_median,gripper_state_switch_probability,source_chunk_switch_count,same_source_chunk_count,source_comparison_status,d1_switch_mean,d1_same_source_mean,d1_switch_minus_same_source
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state00,translation,79,78,0.06689206166276793,0.06568509375256852,77,0.029275346947695426,0.021666482880824043,,78,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state00,rotation,79,78,0.006775273410534004,0.00678712778575736,77,0.004871149948015946,0.004628582149050883,,78,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state00,gripper,79,78,0.0372773439456255,0.004829525947570801,77,0.03798468333560151,0.0038317441940307617,0.01282051282051282,78,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state01,translation,87,86,0.05957735673804087,0.05676184577380676,85,0.022994078986803973,0.018427481780661278,,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state01,rotation,87,86,0.00595520168244809,0.005129846250167779,85,0.0035124981898682107,0.002812223245717511,,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state01,gripper,87,86,0.03208094142204107,0.003184497356414795,85,0.03419559352538165,0.0026096105575561523,0.011627906976744186,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state02,translation,300,299,0.0947064857554745,0.04305913897608574,298,0.13425971098289047,0.06072844091068173,,299,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state02,rotation,300,299,0.007124161808975692,0.004192001549903877,298,0.010696659210763095,0.0056743448501869655,,299,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state02,gripper,300,299,0.12347780402288788,0.011084675788879395,298,0.2177944783396369,0.016726374626159668,0.046822742474916385,299,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state03,translation,87,86,0.062034605330815694,0.05235922896230194,85,0.0294896071917057,0.021563472292920553,,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state03,rotation,87,86,0.006428357048182554,0.004797329474172446,85,0.004254880733975565,0.0032894855311074705,,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state03,gripper,87,86,0.033949476341868554,0.0033980607986450195,85,0.038487904212054086,0.004703402519226074,0.011627906976744186,86,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state04,translation,82,81,0.06420711021103744,0.06016101486090997,80,0.028365653714912686,0.023798036428244115,,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state04,rotation,82,81,0.006622986426109703,0.005990337734415629,80,0.004251789894148704,0.003518318482686359,,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state04,gripper,82,81,0.03553747100594603,0.0042667388916015625,80,0.03637045621871948,0.004050612449645996,0.012345679012345678,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state05,translation,76,75,0.06695141531919349,0.05659684451942168,74,0.02705572322147779,0.01982571608272008,,75,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state05,rotation,76,75,0.007395003634073619,0.0054330269599223565,74,0.004234162840972804,0.0031396286844120576,,75,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state05,gripper,76,75,0.03898474057515462,0.005129575729370117,74,0.05385651137377765,0.004481017589569092,0.013333333333333334,75,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state06,translation,84,83,0.06190589499694427,0.05700665907252931,82,0.029014762737665584,0.019592056222307072,,83,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state06,rotation,84,83,0.005407879332850074,0.004799137468278643,82,0.0038941868152400447,0.002899557463963761,,83,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state06,gripper,84,83,0.034455401351652946,0.004375100135803223,82,0.0426316450281841,0.003634333610534668,0.012048192771084338,83,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state07,translation,81,80,0.06145930575054309,0.052701498895194626,79,0.024872262368144524,0.01923276119161574,,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state07,rotation,81,80,0.0064201652178024924,0.005736457161235194,79,0.003905645826281946,0.0033962309177220954,,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state07,gripper,81,80,0.03672565370798111,0.0038529038429260254,79,0.03487888016278231,0.00388944149017334,0.0125,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state08,translation,77,76,0.06527617651845358,0.056942223036311856,75,0.02864956103216373,0.022696341292108412,,76,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state08,rotation,77,76,0.007328455310364479,0.007413414359976876,75,0.004066373244546298,0.003723136108895282,,76,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state08,gripper,77,76,0.03945410722180417,0.004677832126617432,75,0.03782050212224324,0.00407099723815918,0.013157894736842105,76,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state09,translation,81,80,0.06266580049927914,0.0633477382836388,79,0.026509349261601763,0.025512104395833384,,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state09,rotation,81,80,0.00675349488978888,0.006116080419808281,79,0.003993927071790881,0.00350945943648384,,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state09,gripper,81,80,0.034202484786510466,0.0032784342765808105,79,0.0333451968205126,0.00400388240814209,0.0125,80,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state10,translation,82,81,0.06059071619486539,0.05849741834144166,80,0.02435508002789669,0.02031440386681358,,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state10,rotation,82,81,0.006654571658920229,0.004768130571523232,80,0.004165864876796766,0.00319928196159455,,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state10,gripper,82,81,0.03671802709132065,0.005362033843994141,80,0.04419853761792183,0.004680752754211426,0.012345679012345678,81,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state11,translation,86,85,0.06122858580154181,0.05497255498233265,84,0.025242695439315656,0.019375570937612954,,85,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state11,rotation,86,85,0.006519699232423864,0.005845222045191057,84,0.003557508475923594,0.0031240152133522564,,85,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state11,gripper,86,85,0.034347939491271975,0.004094481468200684,84,0.051510680289495556,0.004109382629394531,0.011764705882352941,85,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state12,translation,80,79,0.06353879897382596,0.060982016077452565,78,0.03263075393961955,0.02274204029313078,,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state12,rotation,80,79,0.00612836599192542,0.00540029366014151,78,0.0043382934233525475,0.0034262283989024258,,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state12,gripper,80,79,0.03435073170480849,0.0033208131790161133,78,0.03946427045724331,0.004946589469909668,0.012658227848101266,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state13,translation,78,77,0.061496188895203925,0.05633092487768313,76,0.03413557351388197,0.026847502740696964,,77,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state13,rotation,78,77,0.0063857677151539245,0.005274733953768223,76,0.004396810845723634,0.0036894168661212937,,77,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,FRESH,libero_goal:task4,libero_goal:task4:state13,gripper,78,77,0.03950509777316799,0.003731846809387207,76,0.050206546720705535,0.004342019557952881,0.012987012987012988,77,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state00,translation,83,82,0.0658798318316422,0.06120264394258788,81,0.030556841281558632,0.026246525369124467,,82,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state00,rotation,83,82,0.006492967831143291,0.005592956329234974,81,0.004759310517324148,0.004320822775319538,,82,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state00,gripper,83,82,0.035874885756795,0.004106879234313965,81,0.03332946329940984,0.003931522369384766,0.012195121951219513,82,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state01,translation,80,79,0.06650452208479865,0.06363880784792597,78,0.027351193418446284,0.022199695811161664,,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state01,rotation,80,79,0.006678689596264835,0.006156100525126315,78,0.004117739084876932,0.003293129722704971,,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state01,gripper,80,79,0.034485957290552836,0.003578782081604004,78,0.03511167776126128,0.0029897093772888184,0.012658227848101266,79,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state02,translation,89,88,0.06205016758418411,0.058487521927801725,87,0.0247744454413201,0.0216545383109426,,88,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state02,rotation,89,88,0.006759710878026284,0.005007742838935111,87,0.0038432911756350776,0.0032234652409486226,,88,0,STRUCTURALLY_UNAVAILABLE,,,
confirmation,REVERSE20,libero_goal:task4,libero_goal:task4:state02,gripper,89,88,0.058582072908228096,0.00529170036315918,87,0.0722780851112015,0.003669261932373047,0.022727272727272728,88,0,STRUCTURALLY_UNAVAILABLE,,,
