task,blocks,rd_interaction,A0G0_successes,A0G0_rate,A0G20_successes,A0G20_rate,A20G0_successes,A20G0_rate,A20G20_successes,A20G20_rate
libero_goal:task4,14,0.3571428571428572,13,0.9285714285714286,12,0.8571428571428571,8,0.5714285714285714,12,0.8571428571428571
libero_goal:task6,14,-0.0714285714285714,10,0.7142857142857143,10,0.7142857142857143,3,0.21428571428571427,2,0.14285714285714285
libero_goal:task7,14,0.0,14,1.0,14,1.0,13,0.9285714285714286,13,0.9285714285714286
libero_goal:task8,14,-0.2857142857142858,13,0.9285714285714286,14,1.0,9,0.6428571428571429,6,0.42857142857142855
libero_goal:task9,14,0.5714285714285713,8,0.5714285714285714,9,0.6428571428571429,3,0.21428571428571427,12,0.8571428571428571
libero_10:task0,14,0.0,2,0.14285714285714285,3,0.21428571428571427,0,0.0,1,0.07142857142857142
libero_10:task2,14,0.2857142857142857,8,0.5714285714285714,12,0.8571428571428571,2,0.14285714285714285,10,0.7142857142857143
libero_10:task4,14,0.14285714285714285,3,0.21428571428571427,2,0.14285714285714285,0,0.0,1,0.07142857142857142
libero_10:task6,14,0.42857142857142855,5,0.35714285714285715,5,0.35714285714285715,0,0.0,6,0.42857142857142855
libero_10:task7,14,0.14285714285714285,1,0.07142857142857142,2,0.14285714285714285,0,0.0,3,0.21428571428571427
