suite,condition,successes,N,success_rate
libero_10,H16,82,150,0.5466666666666666
libero_10,H4,61,150,0.4066666666666667
libero_10,ARM4_GRIP32,81,150,0.54
libero_10,H2,53,150,0.35333333333333333
libero_10,ARM2_GRIP16,74,150,0.49333333333333335
libero_10,TE_DENSE,55,150,0.36666666666666664
libero_goal,H16,137,150,0.9133333333333333
libero_goal,H4,125,150,0.8333333333333334
libero_goal,ARM4_GRIP32,125,150,0.8333333333333334
libero_goal,H2,117,150,0.78
libero_goal,ARM2_GRIP16,120,150,0.8
libero_goal,TE_DENSE,120,150,0.8
libero_spatial,H16,138,150,0.92
libero_spatial,H4,128,150,0.8533333333333334
libero_spatial,ARM4_GRIP32,129,150,0.86
libero_spatial,H2,125,150,0.8333333333333334
libero_spatial,ARM2_GRIP16,127,150,0.8466666666666667
libero_spatial,TE_DENSE,113,150,0.7533333333333333
