suite,contrast,first_successes,second_successes,N,delta_percentage_points
libero_10,H16-H4,82,61,150,14.0
libero_10,H4-H2,61,53,150,5.333333333333
libero_10,ARM4_GRIP32-H4,81,61,150,13.333333333333
libero_10,ARM2_GRIP16-H2,74,53,150,14.0
libero_10,ARM4_GRIP32-H16,81,82,150,-0.666666666667
libero_10,ARM2_GRIP16-H16,74,82,150,-5.333333333333
libero_10,TE_DENSE-H16,55,82,150,-18.0
libero_10,TE_DENSE-ARM4_GRIP32,55,81,150,-17.333333333333
libero_goal,H16-H4,137,125,150,8.0
libero_goal,H4-H2,125,117,150,5.333333333333
libero_goal,ARM4_GRIP32-H4,125,125,150,0.0
libero_goal,ARM2_GRIP16-H2,120,117,150,2.0
libero_goal,ARM4_GRIP32-H16,125,137,150,-8.0
libero_goal,ARM2_GRIP16-H16,120,137,150,-11.333333333333
libero_goal,TE_DENSE-H16,120,137,150,-11.333333333333
libero_goal,TE_DENSE-ARM4_GRIP32,120,125,150,-3.333333333333
libero_spatial,H16-H4,138,128,150,6.666666666667
libero_spatial,H4-H2,128,125,150,2.0
libero_spatial,ARM4_GRIP32-H4,129,128,150,0.666666666667
libero_spatial,ARM2_GRIP16-H2,127,125,150,1.333333333333
libero_spatial,ARM4_GRIP32-H16,129,138,150,-6.0
libero_spatial,ARM2_GRIP16-H16,127,138,150,-7.333333333333
libero_spatial,TE_DENSE-H16,113,138,150,-16.666666666667
libero_spatial,TE_DENSE-ARM4_GRIP32,113,129,150,-10.666666666667
