cell_id,policy,suite,task_id,state_id,eligible_targets,metric,value
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_0,0.10085416724872372
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_1,0.04253612548216067
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_2,0.07634399282913912
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_3,0.03779847418970319
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_4,0.1103906402191108
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_5,0.03496659790179715
act-libero_object-task03-state10,ACT,libero_object,3,10,127,dim_6,0.03692524258945268
act-libero_object-task03-state10,ACT,libero_object,3,10,127,translation,0.08399409746850561
act-libero_object-task03-state10,ACT,libero_object,3,10,127,rotation,0.07649063634632636
act-libero_object-task03-state10,ACT,libero_object,3,10,127,gripper,0.03692524258945268
act-libero_object-task03-state10,ACT,libero_object,3,10,127,arm_original,0.0846176724424339
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_0,0.05793434006183455
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_1,0.04720164904959104
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_2,0.08639983386846772
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_3,0.0484493028539674
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_4,0.07974124455304976
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_5,0.04575966943848942
act-libero_object-task03-state11,ACT,libero_object,3,11,113,dim_6,0.05992579879322963
act-libero_object-task03-state11,ACT,libero_object,3,11,113,translation,0.07321596382450983
act-libero_object-task03-state11,ACT,libero_object,3,11,113,rotation,0.06589065066469325
act-libero_object-task03-state11,ACT,libero_object,3,11,113,gripper,0.05992579879322963
act-libero_object-task03-state11,ACT,libero_object,3,11,113,arm_original,0.0716166493738296
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_0,0.09151216106721115
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_1,0.05291076874333698
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_2,0.1010274893976977
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_3,0.06041419641851947
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_4,0.15879750574429627
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_5,0.058130886073639566
act-libero_object-task03-state12,ACT,libero_object,3,12,149,dim_6,0.07786036421017077
act-libero_object-task03-state12,ACT,libero_object,3,12,149,translation,0.09174496516959092
act-libero_object-task03-state12,ACT,libero_object,3,12,149,rotation,0.11412523745285405
act-libero_object-task03-state12,ACT,libero_object,3,12,149,gripper,0.07786036421017077
act-libero_object-task03-state12,ACT,libero_object,3,12,149,arm_original,0.10533787574420506
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_0,0.32944976045128344
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_1,0.10919791545347084
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_2,0.3701802334836948
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_3,0.18268704630821747
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_4,0.349472121675131
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_5,0.0945775972615146
act-libero_object-task03-state13,ACT,libero_object,3,13,265,dim_6,0.3889231952157373
act-libero_object-task03-state13,ACT,libero_object,3,13,265,translation,0.30362478753466904
act-libero_object-task03-state13,ACT,libero_object,3,13,265,rotation,0.24126126710757942
act-libero_object-task03-state13,ACT,libero_object,3,13,265,gripper,0.3889231952157373
act-libero_object-task03-state13,ACT,libero_object,3,13,265,arm_original,0.27802910437392653
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_0,0.09949436132529263
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_1,0.05089444837187899
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_2,0.1057197253094896
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_3,0.09673116904373825
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_4,0.09607358830919997
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_5,0.04502412674679725
act-libero_object-task03-state14,ACT,libero_object,3,14,149,dim_6,0.09616511279677879
act-libero_object-task03-state14,ACT,libero_object,3,14,149,translation,0.09945350417362134
act-libero_object-task03-state14,ACT,libero_object,3,14,149,rotation,0.09052794020400114
act-libero_object-task03-state14,ACT,libero_object,3,14,149,gripper,0.09616511279677879
act-libero_object-task03-state14,ACT,libero_object,3,14,149,arm_original,0.0977715210817155
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_0,0.11871914896215972
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_1,0.05483257316630306
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_2,0.12433662197360458
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_3,0.11180996443914575
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_4,0.16180343099961675
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_5,0.05211618696328433
act-libero_object-task03-state15,ACT,libero_object,3,15,122,dim_6,0.125109684214093
act-libero_object-task03-state15,ACT,libero_object,3,15,122,translation,0.11409766001582762
act-libero_object-task03-state15,ACT,libero_object,3,15,122,rotation,0.12880870375988052
act-libero_object-task03-state15,ACT,libero_object,3,15,122,gripper,0.125109684214093
act-libero_object-task03-state15,ACT,libero_object,3,15,122,arm_original,0.12426118827871893
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_0,0.06001752531571093
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_1,0.03391864284444779
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_2,0.0922411997974018
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_3,0.06378522807034992
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_4,0.09332968642279174
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_5,0.04404262367312446
act-libero_object-task03-state16,ACT,libero_object,3,16,105,dim_6,0.07790763743973789
act-libero_object-task03-state16,ACT,libero_object,3,16,105,translation,0.07305973333099801
act-libero_object-task03-state16,ACT,libero_object,3,16,105,rotation,0.07389031721311541
act-libero_object-task03-state16,ACT,libero_object,3,16,105,gripper,0.07790763743973789
act-libero_object-task03-state16,ACT,libero_object,3,16,105,arm_original,0.07520352555061546
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_0,0.1896902967839456
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_1,0.12657948578104766
act-libero_object-task03-state17,ACT,libero_object,3,17,265,dim_2,0.4677562162649303
