task,training_demonstration_episodes,adjacent_pairs,gripper_transitions,gripper_transition_density_per_second,arm_normalized_adjacent_variation,A0G0_success_rate,A0G20_success_rate,A20G0_success_rate,Delta_G,Delta_A
libero_goal:task4,46,4528,94,0.20759717314487633,0.18323106073793022,0.9285714285714286,0.8571428571428571,0.5714285714285714,-0.07142857142857151,-0.3571428571428572
libero_goal:task6,40,4163,88,0.21138601969733364,0.17500664511630817,0.7142857142857143,0.7142857142857143,0.21428571428571427,0.0,-0.5
libero_goal:task7,50,4404,60,0.1362397820163488,0.17879298068818095,1.0,1.0,0.9285714285714286,0.0,-0.0714285714285714
libero_goal:task8,49,4514,98,0.21710234824988925,0.19584813156349495,0.9285714285714286,1.0,0.6428571428571429,0.0714285714285714,-0.2857142857142857
libero_goal:task9,36,6188,74,0.1195862960568843,0.18903256437895466,0.5714285714285714,0.6428571428571429,0.21428571428571427,0.07142857142857151,-0.3571428571428571
libero_10:task0,33,9538,142,0.14887817152442862,0.12667650560871532,0.14285714285714285,0.21428571428571427,0.0,0.07142857142857142,-0.14285714285714285
libero_10:task2,41,10825,165,0.15242494226327943,0.13201195696679577,0.5714285714285714,0.8571428571428571,0.14285714285714285,0.2857142857142857,-0.42857142857142855
libero_10:task4,38,9769,161,0.1648070426860477,0.12329721786498044,0.21428571428571427,0.14285714285714285,0.0,-0.07142857142857142,-0.21428571428571427
libero_10:task6,36,8984,136,0.15138023152270705,0.09753580964188284,0.35714285714285715,0.35714285714285715,0.0,0.0,-0.35714285714285715
libero_10:task7,43,11451,180,0.15719151165837045,0.15986650092220658,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,-0.07142857142857142
