episode_cluster_bootstrap_ci,lag,metric,pair_count,quantity,scale,value
"[1.0, 1.0]",0,dim_0,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_1,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_2,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_3,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_4,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_5,24791,autocorrelation,raw,1.0
"[1.0, 1.0]",0,dim_6,24791,autocorrelation,raw,1.0
"[0.0, 0.0]",0,dim_0,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_1,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_2,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_3,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_4,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_5,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_6,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,translation,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,rotation,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,gripper,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,arm,,normalized_rms_difference,ACT,0.0
"[0.0, 0.0]",0,dim_0,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_1,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_2,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_3,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_4,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_5,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,dim_6,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,translation,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,rotation,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,gripper,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,arm,,normalized_rms_difference,SmolVLA,0.0
"[0.0, 0.0]",0,gripper,24791,gripper_sign_disagreement,raw_sign,0.0
"[0.9843028994328396, 0.9866448992857925]",1,dim_0,24618,autocorrelation,raw,0.9854583448326164
"[0.9907014770335186, 0.9921804458531431]",1,dim_1,24618,autocorrelation,raw,0.9914908520707021
"[0.9879917787649659, 0.9894819888922607]",1,dim_2,24618,autocorrelation,raw,0.988742090943121
"[0.9745208946240245, 0.9806253253081365]",1,dim_3,24618,autocorrelation,raw,0.9778668300058564
"[0.979133978868746, 0.9823215692827928]",1,dim_4,24618,autocorrelation,raw,0.9808406370235033
"[0.9901989467288359, 0.9927753650404715]",1,dim_5,24618,autocorrelation,raw,0.9916715199041839
"[0.9666035462563706, 0.9708334076657885]",1,dim_6,24618,autocorrelation,raw,0.9688045877442628
"[0.16716080603375058, 0.19484321984843064]",1,dim_0,,normalized_rms_difference,ACT,0.18082437575629326
"[0.11137485391243111, 0.11895155501970957]",1,dim_1,,normalized_rms_difference,ACT,0.11513962108866023
"[0.1496806794792308, 0.16864673486265644]",1,dim_2,,normalized_rms_difference,ACT,0.15903035262873852
"[0.2154329773357996, 0.2428629785371255]",1,dim_3,,normalized_rms_difference,ACT,0.22906931884689752
"[0.23349656532852162, 0.2607221014999698]",1,dim_4,,normalized_rms_difference,ACT,0.24688620060088087
"[0.10337409997411867, 0.11480994103554103]",1,dim_5,,normalized_rms_difference,ACT,0.10910711680148216
"[0.24066056608821335, 0.2584281269406202]",1,dim_6,,normalized_rms_difference,ACT,0.24944284382514317
"[0.14527264478219454, 0.16323085731895054]",1,translation,,normalized_rms_difference,ACT,0.15410520245308
"[0.19442329410459486, 0.21470190061998579]",1,rotation,,normalized_rms_difference,ACT,0.2043933396018995
"[0.24066056608821332, 0.2584281269406202]",1,gripper,,normalized_rms_difference,ACT,0.24944284382514356
"[0.1719775973908048, 0.19034773122210952]",1,arm,,normalized_rms_difference,ACT,0.18100421362045993
"[0.16716080603375058, 0.19484321984843064]",1,dim_0,,normalized_rms_difference,SmolVLA,0.18082437575629326
"[0.11137485391243111, 0.11895155501970957]",1,dim_1,,normalized_rms_difference,SmolVLA,0.11513962108866023
"[0.1496806794792308, 0.16864673486265644]",1,dim_2,,normalized_rms_difference,SmolVLA,0.15903035262873852
"[0.2154329773357996, 0.2428629785371255]",1,dim_3,,normalized_rms_difference,SmolVLA,0.22906931884689752
"[0.23349656532852162, 0.2607221014999698]",1,dim_4,,normalized_rms_difference,SmolVLA,0.24688620060088087
"[0.10337409997411867, 0.11480994103554103]",1,dim_5,,normalized_rms_difference,SmolVLA,0.10910711680148216
"[0.24066056608821335, 0.2584281269406202]",1,dim_6,,normalized_rms_difference,SmolVLA,0.24944284382514317
"[0.14527264478219454, 0.16323085731895054]",1,translation,,normalized_rms_difference,SmolVLA,0.15410520245308
"[0.19442329410459486, 0.21470190061998579]",1,rotation,,normalized_rms_difference,SmolVLA,0.2043933396018995
"[0.24066056608821332, 0.2584281269406202]",1,gripper,,normalized_rms_difference,SmolVLA,0.24944284382514356
"[0.1719775973908048, 0.19034773122210952]",1,arm,,normalized_rms_difference,SmolVLA,0.18100421362045993
"[0.014443696864312917, 0.016655131156231275]",1,gripper,24618,gripper_sign_disagreement,raw_sign,0.015517101307986026
"[0.9448550300281777, 0.9529581849308969]",2,dim_0,24445,autocorrelation,raw,0.9489020954056658
"[0.9687268238370319, 0.9735000736286704]",2,dim_1,24445,autocorrelation,raw,0.9713165469425662
"[0.9562626119014366, 0.9616384480359121]",2,dim_2,24445,autocorrelation,raw,0.9589938960458841
"[0.9202750678465187, 0.9383864173932872]",2,dim_3,24445,autocorrelation,raw,0.9302703453788246
"[0.9335864688602854, 0.9429503236580964]",2,dim_4,24445,autocorrelation,raw,0.9386443336928338
"[0.9672984962517727, 0.9757181811851385]",2,dim_5,24445,autocorrelation,raw,0.9721822149974648
"[0.9331338277033718, 0.9414705723028576]",2,dim_6,24445,autocorrelation,raw,0.9375519349396981
"[0.3142700185489667, 0.36640997390505126]",2,dim_0,,normalized_rms_difference,ACT,0.33979052676894717
"[0.20528848842911215, 0.21880901921614573]",2,dim_1,,normalized_rms_difference,ACT,0.2118615155225125
"[0.2865727475912035, 0.32266175038728073]",2,dim_2,,normalized_rms_difference,ACT,0.3040791439479187
"[0.3837546473185398, 0.4314586256747335]",2,dim_3,,normalized_rms_difference,ACT,0.40713291737991486
"[0.41806504603350464, 0.46724800138918676]",2,dim_4,,normalized_rms_difference,ACT,0.4422162008220584
"[0.18938139273922316, 0.21028661687228697]",2,dim_5,,normalized_rms_difference,ACT,0.1998492472722574
"[0.3411818012734714, 0.36579418812546405]",2,dim_6,,normalized_rms_difference,ACT,0.3530835843439013
"[0.2739686726030037, 0.30752375743995214]",2,translation,,normalized_rms_difference,ACT,0.29029125008372386
"[0.34854400577133576, 0.3838065065953686]",2,rotation,,normalized_rms_difference,ACT,0.36571942903409044
"[0.3411818012734714, 0.36579418812546405]",2,gripper,,normalized_rms_difference,ACT,0.35308358434390186
"[0.31442752837775334, 0.3472475579401488]",2,arm,,normalized_rms_difference,ACT,0.3301664055050061
"[0.3142700185489667, 0.36640997390505126]",2,dim_0,,normalized_rms_difference,SmolVLA,0.33979052676894717
"[0.20528848842911215, 0.21880901921614573]",2,dim_1,,normalized_rms_difference,SmolVLA,0.2118615155225125
"[0.2865727475912035, 0.32266175038728073]",2,dim_2,,normalized_rms_difference,SmolVLA,0.3040791439479187
"[0.3837546473185398, 0.4314586256747335]",2,dim_3,,normalized_rms_difference,SmolVLA,0.40713291737991486
"[0.41806504603350464, 0.46724800138918676]",2,dim_4,,normalized_rms_difference,SmolVLA,0.4422162008220584
"[0.18938139273922316, 0.21028661687228697]",2,dim_5,,normalized_rms_difference,SmolVLA,0.1998492472722574
"[0.3411818012734714, 0.36579418812546405]",2,dim_6,,normalized_rms_difference,SmolVLA,0.3530835843439013
"[0.2739686726030037, 0.30752375743995214]",2,translation,,normalized_rms_difference,SmolVLA,0.29029125008372386
"[0.34854400577133576, 0.3838065065953686]",2,rotation,,normalized_rms_difference,SmolVLA,0.36571942903409044
"[0.3411818012734714, 0.36579418812546405]",2,gripper,,normalized_rms_difference,SmolVLA,0.35308358434390186
"[0.31442752837775334, 0.3472475579401488]",2,arm,,normalized_rms_difference,SmolVLA,0.3301664055050061
"[0.029029543921188675, 0.03336891604033705]",2,gripper,24445,gripper_sign_disagreement,raw_sign,0.03109020249539783
"[0.8879727940334734, 0.9042823317185372]",3,dim_0,24272,autocorrelation,raw,0.8961983884846776
"[0.9386631671579321, 0.9475209530737786]",3,dim_1,24272,autocorrelation,raw,0.9434429479888117
"[0.9080866938736181, 0.9192250608591327]",3,dim_2,24272,autocorrelation,raw,0.9138343245889764
"[0.8522603707211973, 0.8846710370721346]",3,dim_3,24272,autocorrelation,raw,0.8700820782204792
"[0.8741869043278172, 0.8915804826594543]",3,dim_4,24272,autocorrelation,raw,0.8835144694407142
