contrast,block_id,pair_type,hybrid,replay_id,result,steps,common_support_steps
development_h4,libero_10-task00-state23,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task00-state23-baseline_arm_plus_treatment_gripper,CENSORED,281,281
development_h4,libero_10-task00-state23,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task00-state23-treatment_arm_plus_baseline_gripper,CENSORED,281,281
development_h4,libero_10-task00-state24,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task00-state24-baseline_arm_plus_treatment_gripper,CENSORED,228,228
development_h4,libero_10-task00-state24,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task00-state24-treatment_arm_plus_baseline_gripper,CENSORED,228,228
development_h4,libero_10-task00-state25,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task00-state25-baseline_arm_plus_treatment_gripper,CENSORED,282,282
development_h4,libero_10-task00-state25,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task00-state25-treatment_arm_plus_baseline_gripper,CENSORED,282,282
development_h4,libero_10-task00-state27,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task00-state27-baseline_arm_plus_treatment_gripper,CENSORED,381,381
development_h4,libero_10-task00-state27,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task00-state27-treatment_arm_plus_baseline_gripper,CENSORED,381,381
development_h4,libero_10-task00-state34,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task00-state34-baseline_arm_plus_treatment_gripper,CENSORED,277,277
development_h4,libero_10-task00-state34,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task00-state34-treatment_arm_plus_baseline_gripper,CENSORED,277,277
development_h4,libero_10-task01-state41,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task01-state41-baseline_arm_plus_treatment_gripper,CENSORED,329,329
development_h4,libero_10-task01-state41,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task01-state41-treatment_arm_plus_baseline_gripper,CENSORED,329,329
development_h4,libero_10-task02-state20,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task02-state20-baseline_arm_plus_treatment_gripper,CENSORED,240,240
development_h4,libero_10-task02-state20,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task02-state20-treatment_arm_plus_baseline_gripper,CENSORED,240,240
development_h4,libero_10-task02-state25,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task02-state25-baseline_arm_plus_treatment_gripper,CENSORED,249,249
development_h4,libero_10-task02-state25,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task02-state25-treatment_arm_plus_baseline_gripper,CENSORED,249,249
development_h4,libero_10-task02-state31,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task02-state31-baseline_arm_plus_treatment_gripper,CENSORED,235,235
development_h4,libero_10-task02-state31,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task02-state31-treatment_arm_plus_baseline_gripper,SUCCESS,229,235
development_h4,libero_10-task03-state21,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task03-state21-baseline_arm_plus_treatment_gripper,CENSORED,237,237
development_h4,libero_10-task03-state21,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task03-state21-treatment_arm_plus_baseline_gripper,SUCCESS,237,237
development_h4,libero_10-task03-state24,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task03-state24-baseline_arm_plus_treatment_gripper,CENSORED,297,297
development_h4,libero_10-task03-state24,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task03-state24-treatment_arm_plus_baseline_gripper,CENSORED,297,297
development_h4,libero_10-task04-state21,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task04-state21-baseline_arm_plus_treatment_gripper,CENSORED,216,216
development_h4,libero_10-task04-state21,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task04-state21-treatment_arm_plus_baseline_gripper,CENSORED,216,216
development_h4,libero_10-task04-state24,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task04-state24-baseline_arm_plus_treatment_gripper,CENSORED,234,234
development_h4,libero_10-task04-state24,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task04-state24-treatment_arm_plus_baseline_gripper,CENSORED,234,234
development_h4,libero_10-task04-state25,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task04-state25-baseline_arm_plus_treatment_gripper,CENSORED,212,212
development_h4,libero_10-task04-state25,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task04-state25-treatment_arm_plus_baseline_gripper,CENSORED,212,212
development_h4,libero_10-task04-state28,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task04-state28-baseline_arm_plus_treatment_gripper,CENSORED,219,219
development_h4,libero_10-task04-state28,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task04-state28-treatment_arm_plus_baseline_gripper,CENSORED,219,219
development_h4,libero_10-task04-state31,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task04-state31-baseline_arm_plus_treatment_gripper,CENSORED,216,216
development_h4,libero_10-task04-state31,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task04-state31-treatment_arm_plus_baseline_gripper,CENSORED,216,216
development_h4,libero_10-task06-state29,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task06-state29-baseline_arm_plus_treatment_gripper,CENSORED,295,295
development_h4,libero_10-task06-state29,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task06-state29-treatment_arm_plus_baseline_gripper,CENSORED,295,295
development_h4,libero_10-task06-state34,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task06-state34-baseline_arm_plus_treatment_gripper,CENSORED,205,205
development_h4,libero_10-task06-state34,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task06-state34-treatment_arm_plus_baseline_gripper,CENSORED,205,205
development_h4,libero_10-task07-state22,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task07-state22-baseline_arm_plus_treatment_gripper,CENSORED,256,256
development_h4,libero_10-task07-state22,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task07-state22-treatment_arm_plus_baseline_gripper,CENSORED,256,256
development_h4,libero_10-task07-state24,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task07-state24-baseline_arm_plus_treatment_gripper,CENSORED,268,268
development_h4,libero_10-task07-state24,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task07-state24-treatment_arm_plus_baseline_gripper,CENSORED,268,268
development_h4,libero_10-task07-state29,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task07-state29-baseline_arm_plus_treatment_gripper,CENSORED,237,237
development_h4,libero_10-task07-state29,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task07-state29-treatment_arm_plus_baseline_gripper,CENSORED,237,237
development_h4,libero_10-task07-state30,harm,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task07-state30-baseline_arm_plus_treatment_gripper,CENSORED,280,280
development_h4,libero_10-task07-state30,harm,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task07-state30-treatment_arm_plus_baseline_gripper,CENSORED,280,280
development_h4,libero_10-task08-state26,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task08-state26-baseline_arm_plus_treatment_gripper,CENSORED,459,459
development_h4,libero_10-task08-state26,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task08-state26-treatment_arm_plus_baseline_gripper,CENSORED,459,459
development_h4,libero_10-task08-state27,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task08-state27-baseline_arm_plus_treatment_gripper,CENSORED,438,438
development_h4,libero_10-task08-state27,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task08-state27-treatment_arm_plus_baseline_gripper,CENSORED,438,438
development_h4,libero_10-task08-state29,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task08-state29-baseline_arm_plus_treatment_gripper,CENSORED,501,501
development_h4,libero_10-task08-state29,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task08-state29-treatment_arm_plus_baseline_gripper,CENSORED,501,501
development_h4,libero_10-task08-state31,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task08-state31-baseline_arm_plus_treatment_gripper,CENSORED,363,363
development_h4,libero_10-task08-state31,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task08-state31-treatment_arm_plus_baseline_gripper,CENSORED,363,363
development_h4,libero_10-task08-state32,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task08-state32-baseline_arm_plus_treatment_gripper,CENSORED,380,380
development_h4,libero_10-task08-state32,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task08-state32-treatment_arm_plus_baseline_gripper,CENSORED,380,380
development_h4,libero_10-task09-state30,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task09-state30-baseline_arm_plus_treatment_gripper,CENSORED,306,306
development_h4,libero_10-task09-state30,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task09-state30-treatment_arm_plus_baseline_gripper,CENSORED,306,306
development_h4,libero_10-task09-state31,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task09-state31-baseline_arm_plus_treatment_gripper,CENSORED,234,234
development_h4,libero_10-task09-state31,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task09-state31-treatment_arm_plus_baseline_gripper,CENSORED,234,234
development_h4,libero_10-task09-state36,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task09-state36-baseline_arm_plus_treatment_gripper,CENSORED,256,256
development_h4,libero_10-task09-state36,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task09-state36-treatment_arm_plus_baseline_gripper,CENSORED,256,256
development_h4,libero_10-task09-state41,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task09-state41-baseline_arm_plus_treatment_gripper,CENSORED,257,257
development_h4,libero_10-task09-state41,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task09-state41-treatment_arm_plus_baseline_gripper,CENSORED,257,257
development_h4,libero_10-task09-state42,rescue,baseline_arm_plus_treatment_gripper,development_h4-libero_10-task09-state42-baseline_arm_plus_treatment_gripper,CENSORED,367,367
development_h4,libero_10-task09-state42,rescue,treatment_arm_plus_baseline_gripper,development_h4-libero_10-task09-state42-treatment_arm_plus_baseline_gripper,CENSORED,367,367
