contrast,block_id,pair_type,task_id,state_id,baseline_agent,baseline_wrist,treatment_agent,treatment_wrist,baseline_arm_treatment_gripper_agent,baseline_arm_treatment_gripper_wrist,treatment_arm_baseline_gripper_agent,treatment_arm_baseline_gripper_wrist
development_h4,libero_10-task00-state23,rescue,0,23,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state23-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state23-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state23-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state23-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task00-state24,rescue,0,24,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state24-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state24-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state24-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state24-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task00-state25,rescue,0,25,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state25-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state25-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state25-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state25-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state25-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state25-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state25-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state25-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task00-state27,rescue,0,27,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state27-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state27-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state27-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state27-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state27-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state27-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state27-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state27-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task00-state34,rescue,0,34,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state34-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state34-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state34-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state34-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state34-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state34-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state34-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task00-state34-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task01-state41,rescue,1,41,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task01-state41-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task01-state41-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task01-state41-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task01-state41-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task01-state41-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task01-state41-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task01-state41-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task01-state41-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task02-state20,rescue,2,20,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state20-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state20-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state20-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state20-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state20-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state20-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state20-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state20-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task02-state25,rescue,2,25,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state25-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state25-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state25-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state25-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state25-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state25-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state25-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state25-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task02-state31,rescue,2,31,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state31-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state31-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state31-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task02-state31-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state31-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state31-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state31-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task02-state31-treatment_arm_plus_baseline_gripper.wrist.mp4
development_h4,libero_10-task03-state21,rescue,3,21,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task03-state21-H4.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task03-state21-H4.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task03-state21-ARM4_GRIP32.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task03-state21-ARM4_GRIP32.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task03-state21-baseline_arm_plus_treatment_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task03-state21-baseline_arm_plus_treatment_gripper.wrist.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task03-state21-treatment_arm_plus_baseline_gripper.agent.mp4,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development_swaps/development_h4-libero_10-task03-state21-treatment_arm_plus_baseline_gripper.wrist.mp4
