cohort,replay_id,view,path
development,libero_10-task00-state20-ARM2_GRIP16,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state20-ARM2_GRIP16.agent.mp4
development,libero_10-task00-state20-ARM2_GRIP16,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state20-ARM2_GRIP16.wrist.mp4
development,libero_10-task00-state20-H2,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state20-H2.agent.mp4
development,libero_10-task00-state20-H2,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state20-H2.wrist.mp4
development,libero_10-task00-state23-ARM4_GRIP32,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-ARM4_GRIP32.agent.mp4
development,libero_10-task00-state23-ARM4_GRIP32,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-ARM4_GRIP32.wrist.mp4
development,libero_10-task00-state23-H4,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-H4.agent.mp4
development,libero_10-task00-state23-H4,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state23-H4.wrist.mp4
development,libero_10-task00-state24-ARM2_GRIP16,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM2_GRIP16.agent.mp4
development,libero_10-task00-state24-ARM2_GRIP16,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM2_GRIP16.wrist.mp4
development,libero_10-task00-state24-ARM4_GRIP32,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM4_GRIP32.agent.mp4
development,libero_10-task00-state24-ARM4_GRIP32,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-ARM4_GRIP32.wrist.mp4
development,libero_10-task00-state24-H2,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H2.agent.mp4
development,libero_10-task00-state24-H2,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H2.wrist.mp4
development,libero_10-task00-state24-H4,agent,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H4.agent.mp4
development,libero_10-task00-state24-H4,wrist,/home/wjq/workspace/one-clock-icra27-crosssuite-query-allocation/experiments/icra27_phase_d_failure_attribution/videos/development/libero_10-task00-state24-H4.wrist.mp4
