family,contrast,task,delta_percentage_points
r1a,A0_G0-A2_G0,libero_object:task1,7.142857142857142
r1a,A0_G0-A2_G0,libero_object:task2,14.285714285714285
r1a,A0_G0-A2_G0,libero_object:task3,-7.142857142857142
r1a,A0_G0-A2_G0,libero_object:task4,0.0
r1a,A0_G0-A2_G0,libero_object:task5,14.285714285714285
r1a,A0_G0-A2_G0,libero_object:task6,14.285714285714285
r1a,A0_G0-A2_G0,libero_object:task7,-7.142857142857142
r1a,A0_G0-A2_G0,libero_object:task8,21.428571428571427
r1a,A0_G0-A2_G0,libero_object:task9,-7.142857142857142
r1a,A0_G0-A0_G2,libero_object:task1,-28.57142857142857
r1a,A0_G0-A0_G2,libero_object:task2,-28.57142857142857
r1a,A0_G0-A0_G2,libero_object:task3,-14.285714285714285
r1a,A0_G0-A0_G2,libero_object:task4,-21.428571428571427
r1a,A0_G0-A0_G2,libero_object:task5,-14.285714285714285
r1a,A0_G0-A0_G2,libero_object:task6,-7.142857142857142
r1a,A0_G0-A0_G2,libero_object:task7,-14.285714285714285
r1a,A0_G0-A0_G2,libero_object:task8,-14.285714285714285
r1a,A0_G0-A0_G2,libero_object:task9,0.0
r1a,A0_G2-A2_G0,libero_object:task1,35.714285714285715
r1a,A0_G2-A2_G0,libero_object:task2,42.857142857142854
r1a,A0_G2-A2_G0,libero_object:task3,7.142857142857142
r1a,A0_G2-A2_G0,libero_object:task4,21.428571428571427
r1a,A0_G2-A2_G0,libero_object:task5,28.57142857142857
r1a,A0_G2-A2_G0,libero_object:task6,21.428571428571427
r1a,A0_G2-A2_G0,libero_object:task7,7.142857142857142
r1a,A0_G2-A2_G0,libero_object:task8,35.714285714285715
r1a,A0_G2-A2_G0,libero_object:task9,-7.142857142857142
r1a,A0_G0-A4_G0,libero_object:task1,7.142857142857142
r1a,A0_G0-A4_G0,libero_object:task2,-7.142857142857142
r1a,A0_G0-A4_G0,libero_object:task3,7.142857142857142
r1a,A0_G0-A4_G0,libero_object:task4,-14.285714285714285
r1a,A0_G0-A4_G0,libero_object:task5,28.57142857142857
r1a,A0_G0-A4_G0,libero_object:task6,14.285714285714285
r1a,A0_G0-A4_G0,libero_object:task7,-7.142857142857142
r1a,A0_G0-A4_G0,libero_object:task8,28.57142857142857
r1a,A0_G0-A4_G0,libero_object:task9,-7.142857142857142
r1a,A0_G0-A0_G4,libero_object:task1,-50.0
r1a,A0_G0-A0_G4,libero_object:task2,-28.57142857142857
r1a,A0_G0-A0_G4,libero_object:task3,-35.714285714285715
r1a,A0_G0-A0_G4,libero_object:task4,-28.57142857142857
r1a,A0_G0-A0_G4,libero_object:task5,-7.142857142857142
r1a,A0_G0-A0_G4,libero_object:task6,-7.142857142857142
r1a,A0_G0-A0_G4,libero_object:task7,-14.285714285714285
r1a,A0_G0-A0_G4,libero_object:task8,-14.285714285714285
r1a,A0_G0-A0_G4,libero_object:task9,0.0
r1a,A0_G4-A4_G0,libero_object:task1,57.14285714285714
r1a,A0_G4-A4_G0,libero_object:task2,21.428571428571427
r1a,A0_G4-A4_G0,libero_object:task3,42.857142857142854
r1a,A0_G4-A4_G0,libero_object:task4,14.285714285714285
r1a,A0_G4-A4_G0,libero_object:task5,35.714285714285715
r1a,A0_G4-A4_G0,libero_object:task6,21.428571428571427
r1a,A0_G4-A4_G0,libero_object:task7,7.142857142857142
r1a,A0_G4-A4_G0,libero_object:task8,42.857142857142854
r1a,A0_G4-A4_G0,libero_object:task9,-7.142857142857142
r1a,A0_G0-A8_G0,libero_object:task1,7.142857142857142
r1a,A0_G0-A8_G0,libero_object:task2,21.428571428571427
r1a,A0_G0-A8_G0,libero_object:task3,7.142857142857142
r1a,A0_G0-A8_G0,libero_object:task4,0.0
r1a,A0_G0-A8_G0,libero_object:task5,35.714285714285715
r1a,A0_G0-A8_G0,libero_object:task6,28.57142857142857
r1a,A0_G0-A8_G0,libero_object:task7,7.142857142857142
r1a,A0_G0-A8_G0,libero_object:task8,28.57142857142857
r1a,A0_G0-A8_G0,libero_object:task9,7.142857142857142
r1a,A0_G0-A0_G8,libero_object:task1,-64.28571428571429
r1a,A0_G0-A0_G8,libero_object:task2,-28.57142857142857
r1a,A0_G0-A0_G8,libero_object:task3,-21.428571428571427
r1a,A0_G0-A0_G8,libero_object:task4,-42.857142857142854
r1a,A0_G0-A0_G8,libero_object:task5,-14.285714285714285
r1a,A0_G0-A0_G8,libero_object:task6,-7.142857142857142
r1a,A0_G0-A0_G8,libero_object:task7,-21.428571428571427
r1a,A0_G0-A0_G8,libero_object:task8,-14.285714285714285
r1a,A0_G0-A0_G8,libero_object:task9,-14.285714285714285
r1a,A0_G8-A8_G0,libero_object:task1,71.42857142857143
r1a,A0_G8-A8_G0,libero_object:task2,50.0
r1a,A0_G8-A8_G0,libero_object:task3,28.57142857142857
r1a,A0_G8-A8_G0,libero_object:task4,42.857142857142854
r1a,A0_G8-A8_G0,libero_object:task5,50.0
r1a,A0_G8-A8_G0,libero_object:task6,35.714285714285715
r1a,A0_G8-A8_G0,libero_object:task7,28.57142857142857
r1a,A0_G8-A8_G0,libero_object:task8,42.857142857142854
r1a,A0_G8-A8_G0,libero_object:task9,21.428571428571427
r1a,A0_G0-A12_G0,libero_object:task1,7.142857142857142
r1a,A0_G0-A12_G0,libero_object:task2,42.857142857142854
r1a,A0_G0-A12_G0,libero_object:task3,28.57142857142857
r1a,A0_G0-A12_G0,libero_object:task4,21.428571428571427
r1a,A0_G0-A12_G0,libero_object:task5,42.857142857142854
r1a,A0_G0-A12_G0,libero_object:task6,35.714285714285715
r1a,A0_G0-A12_G0,libero_object:task7,14.285714285714285
r1a,A0_G0-A12_G0,libero_object:task8,42.857142857142854
r1a,A0_G0-A12_G0,libero_object:task9,14.285714285714285
r1a,A0_G0-A0_G12,libero_object:task1,-64.28571428571429
r1a,A0_G0-A0_G12,libero_object:task2,-28.57142857142857
r1a,A0_G0-A0_G12,libero_object:task3,-14.285714285714285
r1a,A0_G0-A0_G12,libero_object:task4,-42.857142857142854
r1a,A0_G0-A0_G12,libero_object:task5,-7.142857142857142
r1a,A0_G0-A0_G12,libero_object:task6,-7.142857142857142
r1a,A0_G0-A0_G12,libero_object:task7,-28.57142857142857
r1a,A0_G0-A0_G12,libero_object:task8,-14.285714285714285
r1a,A0_G0-A0_G12,libero_object:task9,-21.428571428571427
r1a,A0_G12-A12_G0,libero_object:task1,71.42857142857143
r1a,A0_G12-A12_G0,libero_object:task2,71.42857142857143
r1a,A0_G12-A12_G0,libero_object:task3,42.857142857142854
r1a,A0_G12-A12_G0,libero_object:task4,64.28571428571429
r1a,A0_G12-A12_G0,libero_object:task5,50.0
r1a,A0_G12-A12_G0,libero_object:task6,42.857142857142854
r1a,A0_G12-A12_G0,libero_object:task7,42.857142857142854
