family,method,successes,N,success_rate,environment_steps,policy_queries,query_rate,wall_clock_seconds
r1a,A0_G0,56,126,0.4444444444444444,27532,27532,1.0,0.0
r1a,A0_G12,88,126,0.6984126984126984,22940,22940,1.0,2400.276716709137
r1a,A0_G16,90,126,0.7142857142857143,22833,22833,1.0,2010.2342784404755
r1a,A0_G2,76,126,0.6031746031746031,24557,24557,1.0,2279.580120563507
r1a,A0_G20,81,126,0.6428571428571429,23961,23961,1.0,0.0
r1a,A0_G32,79,126,0.626984126984127,24164,24164,1.0,1630.9972975254059
r1a,A0_G4,82,126,0.6507936507936508,23580,23580,1.0,2330.757982492447
r1a,A0_G8,88,126,0.6984126984126984,22838,22838,1.0,2321.9369740486145
r1a,A12_G0,21,126,0.16666666666666666,32005,32005,1.0,3148.8911645412445
r1a,A16_G0,23,126,0.18253968253968253,31799,31799,1.0,3034.3407170772552
r1a,A20_G0,12,126,0.09523809523809523,33434,33434,1.0,0.0
r1a,A2_G0,49,126,0.3888888888888889,28080,28080,1.0,2290.6007857322693
r1a,A32_G0,32,126,0.25396825396825395,30435,30435,1.0,2004.130125284195
r1a,A4_G0,49,126,0.3888888888888889,28420,28420,1.0,2842.369723558426
r1a,A8_G0,36,126,0.2857142857142857,30207,30207,1.0,2993.561820745468
r1b,A0_G0,56,126,0.4444444444444444,27532,27532,1.0,0.0
r1b,A0_G20,81,126,0.6428571428571429,23961,23961,1.0,0.0
r1b,A20_G0,12,126,0.09523809523809523,33434,33434,1.0,0.0
r1b,T0_R20_G0,53,126,0.42063492063492064,28111,28111,1.0,1866.9467358589172
r1b,T20_R0_G0,11,126,0.0873015873015873,33660,33660,1.0,2557.0590665340424
r1c,C00,77,140,0.55,40306,40306,1.0,3368.158013727283
r1c,C01,81,140,0.5785714285714286,39516,39516,1.0,3118.4131557941437
r1c,C10,76,140,0.5428571428571428,40834,40834,1.0,2225.4593438508455
r1c,C11,93,140,0.6642857142857143,35613,35613,1.0,2395.1079473495483
r1d,A0_G0,40,100,0.4,20731,20731,1.0,1132.9603852350265
r1d,A0_G20,40,100,0.4,20838,20838,1.0,1158.8471231501317
r1d,A20_G0,12,100,0.12,25786,25786,1.0,2339.6587035655975
r1d,A20_G20,30,100,0.3,23405,23405,1.0,1266.6368904912379
