family,contrast,first_successes,second_successes,N,first_only,second_only,delta_percentage_points,exact_two_sided_mcnemar_p,paired_bootstrap_ci_percentage_points,task_cluster_bootstrap_ci_percentage_points,per_task_delta_percentage_points,loto_percentage_points
r1a,A0_G0-A2_G0,56,49,126,13,6,5.555555555555555,0.1670684814453125,"[-0.7936507936507936, 12.698412698412698]","[-1.5873015873015872, 12.698412698412698]","{""libero_object:task1"": 7.142857142857142, ""libero_object:task2"": 14.285714285714285, ""libero_object:task3"": -7.142857142857142, ""libero_object:task4"": 0.0, ""libero_object:task5"": 14.285714285714285, ""libero_object:task6"": 14.285714285714285, ""libero_object:task7"": -7.142857142857142, ""libero_object:task8"": 21.428571428571427, ""libero_object:task9"": -7.142857142857142}","[5.357142857142857, 4.4642857142857135, 7.142857142857142, 6.25, 4.4642857142857135, 4.4642857142857135, 7.142857142857142, 3.571428571428571, 7.142857142857142]"
r1a,A0_G0-A0_G2,56,76,126,1,21,-15.873015873015872,1.0967254638671875e-05,"[-23.015873015873016, -9.523809523809524]","[-21.428571428571427, -10.317460317460316]","{""libero_object:task1"": -28.57142857142857, ""libero_object:task2"": -28.57142857142857, ""libero_object:task3"": -14.285714285714285, ""libero_object:task4"": -21.428571428571427, ""libero_object:task5"": -14.285714285714285, ""libero_object:task6"": -7.142857142857142, ""libero_object:task7"": -14.285714285714285, ""libero_object:task8"": -14.285714285714285, ""libero_object:task9"": 0.0}","[-14.285714285714285, -14.285714285714285, -16.07142857142857, -15.178571428571427, -16.07142857142857, -16.96428571428571, -16.07142857142857, -16.07142857142857, -17.857142857142854]"
r1a,A0_G2-A2_G0,76,49,126,29,2,21.428571428571427,4.628673195838928e-07,"[13.492063492063492, 29.365079365079367]","[11.11111111111111, 30.952380952380953]","{""libero_object:task1"": 35.714285714285715, ""libero_object:task2"": 42.857142857142854, ""libero_object:task3"": 7.142857142857142, ""libero_object:task4"": 21.428571428571427, ""libero_object:task5"": 28.57142857142857, ""libero_object:task6"": 21.428571428571427, ""libero_object:task7"": 7.142857142857142, ""libero_object:task8"": 35.714285714285715, ""libero_object:task9"": -7.142857142857142}","[19.642857142857142, 18.75, 23.21428571428571, 21.428571428571427, 20.535714285714285, 21.428571428571427, 23.214285714285715, 19.642857142857142, 25.0]"
r1a,A0_G0-A4_G0,56,49,126,20,13,5.555555555555555,0.296206368599087,"[-3.1746031746031744, 14.285714285714285]","[-3.968253968253968, 15.873015873015872]","{""libero_object:task1"": 7.142857142857142, ""libero_object:task2"": -7.142857142857142, ""libero_object:task3"": 7.142857142857142, ""libero_object:task4"": -14.285714285714285, ""libero_object:task5"": 28.57142857142857, ""libero_object:task6"": 14.285714285714285, ""libero_object:task7"": -7.142857142857142, ""libero_object:task8"": 28.57142857142857, ""libero_object:task9"": -7.142857142857142}","[5.357142857142857, 7.142857142857142, 5.357142857142857, 8.035714285714285, 2.6785714285714284, 4.4642857142857135, 7.142857142857142, 2.6785714285714284, 7.142857142857142]"
r1a,A0_G0-A0_G4,56,82,126,0,26,-20.634920634920633,2.9802322387695312e-08,"[-27.77777777777778, -13.492063492063492]","[-30.952380952380953, -11.11111111111111]","{""libero_object:task1"": -50.0, ""libero_object:task2"": -28.57142857142857, ""libero_object:task3"": -35.714285714285715, ""libero_object:task4"": -28.57142857142857, ""libero_object:task5"": -7.142857142857142, ""libero_object:task6"": -7.142857142857142, ""libero_object:task7"": -14.285714285714285, ""libero_object:task8"": -14.285714285714285, ""libero_object:task9"": 0.0}","[-16.96428571428571, -19.642857142857146, -18.75, -19.642857142857146, -22.32142857142857, -22.32142857142857, -21.428571428571423, -21.428571428571423, -23.21428571428571]"
r1a,A0_G4-A4_G0,82,49,126,40,7,26.190476190476193,1.0709118214435875e-06,"[16.666666666666664, 35.714285714285715]","[13.492063492063492, 38.0952380952381]","{""libero_object:task1"": 57.14285714285714, ""libero_object:task2"": 21.428571428571427, ""libero_object:task3"": 42.857142857142854, ""libero_object:task4"": 14.285714285714285, ""libero_object:task5"": 35.714285714285715, ""libero_object:task6"": 21.428571428571427, ""libero_object:task7"": 7.142857142857142, ""libero_object:task8"": 42.857142857142854, ""libero_object:task9"": -7.142857142857142}","[22.32142857142857, 26.785714285714285, 24.107142857142854, 27.67857142857143, 25.0, 26.785714285714285, 28.57142857142857, 24.107142857142858, 30.35714285714286]"
r1a,A0_G0-A8_G0,56,36,126,27,7,15.873015873015872,0.0008213953115046024,"[7.142857142857142, 24.6031746031746]","[8.730158730158728, 23.809523809523807]","{""libero_object:task1"": 7.142857142857142, ""libero_object:task2"": 21.428571428571427, ""libero_object:task3"": 7.142857142857142, ""libero_object:task4"": 0.0, ""libero_object:task5"": 35.714285714285715, ""libero_object:task6"": 28.57142857142857, ""libero_object:task7"": 7.142857142857142, ""libero_object:task8"": 28.57142857142857, ""libero_object:task9"": 7.142857142857142}","[16.96428571428571, 15.178571428571427, 16.96428571428571, 17.857142857142854, 13.392857142857139, 14.285714285714285, 16.96428571428571, 14.285714285714285, 16.96428571428571]"
r1a,A0_G0-A0_G8,56,88,126,1,33,-25.396825396825395,4.0745362639427185e-09,"[-33.33333333333333, -17.46031746031746]","[-37.301587301587304, -15.873015873015872]","{""libero_object:task1"": -64.28571428571429, ""libero_object:task2"": -28.57142857142857, ""libero_object:task3"": -21.428571428571427, ""libero_object:task4"": -42.857142857142854, ""libero_object:task5"": -14.285714285714285, ""libero_object:task6"": -7.142857142857142, ""libero_object:task7"": -21.428571428571427, ""libero_object:task8"": -14.285714285714285, ""libero_object:task9"": -14.285714285714285}","[-20.535714285714285, -25.0, -25.89285714285714, -23.21428571428571, -26.785714285714285, -27.67857142857143, -25.89285714285714, -26.785714285714285, -26.785714285714285]"
r1a,A0_G8-A8_G0,88,36,126,53,1,41.269841269841265,6.106226635438361e-15,"[32.53968253968254, 50.0]","[32.53968253968254, 50.793650793650805]","{""libero_object:task1"": 71.42857142857143, ""libero_object:task2"": 50.0, ""libero_object:task3"": 28.57142857142857, ""libero_object:task4"": 42.857142857142854, ""libero_object:task5"": 50.0, ""libero_object:task6"": 35.714285714285715, ""libero_object:task7"": 28.57142857142857, ""libero_object:task8"": 42.857142857142854, ""libero_object:task9"": 21.428571428571427}","[37.5, 40.17857142857143, 42.85714285714286, 41.07142857142857, 40.17857142857143, 41.96428571428571, 42.85714285714286, 41.07142857142857, 43.75]"
r1a,A0_G0-A12_G0,56,21,126,38,3,27.77777777777778,1.0479197953827679e-08,"[19.047619047619047, 36.507936507936506]","[19.047619047619047, 36.5079365079365]","{""libero_object:task1"": 7.142857142857142, ""libero_object:task2"": 42.857142857142854, ""libero_object:task3"": 28.57142857142857, ""libero_object:task4"": 21.428571428571427, ""libero_object:task5"": 42.857142857142854, ""libero_object:task6"": 35.714285714285715, ""libero_object:task7"": 14.285714285714285, ""libero_object:task8"": 42.857142857142854, ""libero_object:task9"": 14.285714285714285}","[30.357142857142854, 25.89285714285714, 27.67857142857143, 28.57142857142857, 25.89285714285714, 26.785714285714285, 29.464285714285715, 25.89285714285714, 29.464285714285715]"
r1a,A0_G0-A0_G12,56,88,126,2,34,-25.396825396825395,1.941225491464138e-08,"[-34.12698412698413, -17.46031746031746]","[-37.301587301587304, -15.079365079365079]","{""libero_object:task1"": -64.28571428571429, ""libero_object:task2"": -28.57142857142857, ""libero_object:task3"": -14.285714285714285, ""libero_object:task4"": -42.857142857142854, ""libero_object:task5"": -7.142857142857142, ""libero_object:task6"": -7.142857142857142, ""libero_object:task7"": -28.57142857142857, ""libero_object:task8"": -14.285714285714285, ""libero_object:task9"": -21.428571428571427}","[-20.535714285714285, -25.0, -26.785714285714285, -23.21428571428571, -27.67857142857143, -27.67857142857143, -25.0, -26.785714285714285, -25.89285714285714]"
