task_id,name,strategy,arm_horizon,gripper_horizon,episodes,successes,success_rate,query_rate
0,global_h1,global_fixed,1,1,50,29,0.58,1.0
0,global_h2,global_fixed,2,2,50,31,0.62,0.500865551067513
0,global_h4,global_fixed,4,4,50,42,0.84,0.25181598062953997
0,global_h8,global_fixed,8,8,50,45,0.9,0.12784497333853556
0,global_h16,global_fixed,16,16,50,42,0.84,0.06542402172571288
0,group_arm1_grip1,groupwise_fixed,1,1,50,29,0.58,1.0
0,group_arm1_grip2,groupwise_fixed,1,2,50,30,0.6,1.0
0,group_arm1_grip4,groupwise_fixed,1,4,50,34,0.68,1.0
0,group_arm1_grip8,groupwise_fixed,1,8,50,40,0.8,1.0
0,group_arm1_grip16,groupwise_fixed,1,16,50,40,0.8,1.0
0,group_arm2_grip1,groupwise_fixed,2,1,50,26,0.52,1.0
0,group_arm2_grip2,groupwise_fixed,2,2,50,31,0.62,0.500865551067513
0,group_arm2_grip4,groupwise_fixed,2,4,50,42,0.84,0.5015642458100559
0,group_arm2_grip8,groupwise_fixed,2,8,50,42,0.84,0.5013433010162365
0,group_arm2_grip16,groupwise_fixed,2,16,50,44,0.88,0.5012165450121655
0,group_arm4_grip1,groupwise_fixed,4,1,50,28,0.56,1.0
0,group_arm4_grip2,groupwise_fixed,4,2,50,31,0.62,0.5007148984844152
0,group_arm4_grip4,groupwise_fixed,4,4,50,42,0.84,0.25181598062953997
0,group_arm4_grip8,groupwise_fixed,4,8,50,45,0.9,0.25198906016907013
0,group_arm4_grip16,groupwise_fixed,4,16,50,47,0.94,0.2521895929933024
0,group_arm8_grip1,groupwise_fixed,8,1,50,26,0.52,1.0
0,group_arm8_grip2,groupwise_fixed,8,2,50,33,0.66,0.5007057874571487
0,group_arm8_grip4,groupwise_fixed,8,4,50,41,0.82,0.252
0,group_arm8_grip8,groupwise_fixed,8,8,50,45,0.9,0.12784497333853556
0,group_arm8_grip16,groupwise_fixed,8,16,50,45,0.9,0.1275831087151842
0,group_arm16_grip1,groupwise_fixed,16,1,50,29,0.58,1.0
0,group_arm16_grip2,groupwise_fixed,16,2,50,30,0.6,0.5008370260955195
0,group_arm16_grip4,groupwise_fixed,16,4,50,37,0.74,0.2515364354697103
0,group_arm16_grip8,groupwise_fixed,16,8,50,41,0.82,0.12707051585423568
0,group_arm16_grip16,groupwise_fixed,16,16,50,42,0.84,0.06542402172571288
1,global_h4,global_fixed,4,4,20,10,0.5,0.2511137162954279
1,group_arm2_grip2,groupwise_fixed,2,2,20,6,0.3,0.5004177109440268
1,group_arm2_grip8,groupwise_fixed,2,8,20,9,0.45,0.5003457017746025
1,group_arm2_grip16,groupwise_fixed,2,16,20,14,0.7,0.5005122950819673
1,group_arm4_grip4,groupwise_fixed,4,4,20,10,0.5,0.2511137162954279
1,group_arm4_grip16,groupwise_fixed,4,16,20,12,0.6,0.25101112234580386
1,group_arm8_grip2,groupwise_fixed,8,2,20,6,0.3,0.5005162089613876
1,group_arm8_grip8,groupwise_fixed,8,8,20,9,0.45,0.1257052584066802
1,group_arm8_grip16,groupwise_fixed,8,16,20,13,0.65,0.12594268476621417
1,group_arm16_grip2,groupwise_fixed,16,2,20,4,0.2,0.5002913187026607
1,group_arm16_grip4,groupwise_fixed,16,4,20,6,0.3,0.25042625745950553
1,group_arm16_grip8,groupwise_fixed,16,8,20,7,0.35,0.12534406097819184
1,group_arm16_grip16,groupwise_fixed,16,16,20,10,0.5,0.06476916181084716
2,global_h4,global_fixed,4,4,20,15,0.75,0.2517252711140322
2,group_arm2_grip2,groupwise_fixed,2,2,20,14,0.7,0.5006123698714023
2,group_arm2_grip8,groupwise_fixed,2,8,20,15,0.75,0.5011411803064885
2,group_arm2_grip16,groupwise_fixed,2,16,20,16,0.8,0.5011836320595198
2,group_arm4_grip16,groupwise_fixed,4,16,20,16,0.8,0.25150501672240805
2,group_arm8_grip2,groupwise_fixed,8,2,20,12,0.6,0.5006954102920723
2,group_arm8_grip8,groupwise_fixed,8,8,20,14,0.7,0.12628304821150854
2,group_arm8_grip16,groupwise_fixed,8,16,20,14,0.7,0.12709757613424488
2,group_arm16_grip2,groupwise_fixed,16,2,20,13,0.65,0.5012744265080714
2,group_arm16_grip4,groupwise_fixed,16,4,20,13,0.65,0.2515669515669516
2,group_arm16_grip8,groupwise_fixed,16,8,20,14,0.7,0.12685680332739158
2,group_arm16_grip16,groupwise_fixed,16,16,20,14,0.7,0.06497088568801716
3,global_h4,global_fixed,4,4,20,15,0.75,0.2518763134193936
