phase,strategy,name,arm_horizon,gripper_horizon,episodes,successes,macro_success_rate,macro_success_ci95_low,macro_success_ci95_high,pooled_success_rate,macro_query_rate,difference_vs_selected,difference_vs_selected_ci95_low,difference_vs_selected_ci95_high,statistically_tied_with_selected_descriptive,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
early,global,phase_early_global_h1,1,1,230,160,0.677,0.585,0.774,0.6956521739130435,0.5342550468891459,-0.03599999999999999,-0.097,0.02400000000000002,True,0.82,0.8,0.65,0.8,0.6,0.65,0.5,0.55,0.45,0.95
early,global,phase_early_global_h2,2,2,230,166,0.6980000000000002,0.5999999999999999,0.79,0.7217391304347827,0.2929477750478345,-0.014999999999999986,-0.06999999999999998,0.04000000000000001,True,0.88,0.8,0.75,0.8,0.65,0.7,0.5,0.6,0.4,0.9
early,global,phase_early_global_h4,4,4,230,169,0.713,0.6100000000000001,0.8130000000000001,0.7347826086956522,0.16891338142410645,0.0,0.0,0.0,True,0.88,0.65,0.75,0.85,0.85,0.7,0.55,0.5,0.45,0.95
early,global,phase_early_global_h8,8,8,230,164,0.682,0.565,0.789,0.7130434782608696,0.09933921953769273,-0.030999999999999982,-0.07499999999999998,0.014000000000000023,True,0.92,0.6,0.7,0.8,0.75,0.8,0.5,0.55,0.3,0.9
early,global,phase_early_global_h16,16,16,230,165,0.699,0.589,0.8,0.717391304347826,0.0649491977936596,-0.013999999999999995,-0.069,0.04500000000000002,True,0.84,0.5,0.7,0.9,0.8,0.85,0.65,0.55,0.35,0.85
early,group,phase_early_group_arm1_grip1,1,1,230,151,0.635,0.5400000000000001,0.745,0.6565217391304348,0.6179510601176135,-0.09899999999999998,-0.16499999999999995,-0.03399999999999999,False,0.8,0.55,0.65,0.75,0.6,0.55,0.5,0.5,0.45,1.0
early,group,phase_early_group_arm1_grip2,1,2,230,156,0.663,0.5700000000000001,0.768,0.6782608695652174,0.6342248545081979,-0.071,-0.13999999999999996,-0.010000000000000004,False,0.78,0.6,0.7,0.8,0.7,0.55,0.5,0.55,0.45,1.0
early,group,phase_early_group_arm1_grip4,1,4,230,161,0.6849999999999999,0.58,0.7849999999999999,0.7,0.6772873878786273,-0.049,-0.11900000000000004,0.024999999999999984,True,0.8,0.75,0.7,0.8,0.85,0.6,0.45,0.5,0.45,0.95
early,group,phase_early_group_arm1_grip8,1,8,230,156,0.666,0.570975,0.764,0.6782608695652174,0.6760536544403081,-0.06799999999999999,-0.13799999999999998,-0.0050000000000000044,False,0.76,0.65,0.75,0.75,0.8,0.55,0.45,0.55,0.45,0.95
early,group,phase_early_group_arm1_grip16,1,16,230,165,0.705,0.6,0.8099999999999999,0.717391304347826,0.6840531354341104,-0.029000000000000005,-0.06699999999999999,0.009999999999999998,True,0.8,0.6,0.75,0.75,0.8,0.85,0.45,0.6,0.45,1.0
