left_method,right_method,metric,episode_weighted_mean_difference,episode_ci95_low,episode_ci95_high,task_weighted_mean_difference,task_cluster_ci95_low,task_cluster_ci95_high,negative_task_count,consistent_advantage,episodes,tasks
b6_control_semantic_similarity,b2_exact_act_m0_01,dimension_weighted_semantic_error,-0.0211488740939802,-0.02691963980202688,-0.015433915955487073,-0.020927596211395408,-0.028359749369846112,-0.013371818160476745,9,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,translation_normalized_mse,-0.03080340463129445,-0.03771265505575128,-0.02379427436551895,-0.030354422779156637,-0.040220172728529055,-0.01947252343816075,9,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,translation_l2_action_units,-0.01716890160449884,-0.020127000772374712,-0.014107446764525026,-0.016986720204368748,-0.021606376789212733,-0.012287113972102996,10,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,rotation_geodesic_radians,-0.0004844225811560325,-0.0007240838509984372,-0.00026053790631015787,-0.00048358263455042987,-0.0007789351452933907,-0.00023247616524820766,10,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,rotation_normalized_sq,-0.01082495529556717,-0.016862486987892066,-0.0049540712155780615,-0.010850500859092557,-0.018415335187800783,-0.004068145773729871,9,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,gripper_sign_error,-0.023157038877276773,-0.03586188687510491,-0.010545448541171589,-0.022878402565020516,-0.03887140183222207,-0.006185693009479835,8,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,raw_7d_mse,-0.006730963255017111,-0.008709983292524303,-0.004651816045426798,-0.006657047929325232,-0.008930394596876733,-0.003968337121534024,9,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,equal_group_semantic_error,-0.02159513293471277,-0.028131213195493967,-0.01504141290450174,-0.021361108734423206,-0.029535502078103494,-0.012454555702175045,9,True,41,10
b6_control_semantic_similarity,b2_exact_act_m0_01,arm_gripper_balanced_semantic_error,-0.021985609420353772,-0.029698270586069768,-0.014211157318864085,-0.021740432192072532,-0.03150354674620284,-0.011043960356660148,8,True,41,10
b6_control_semantic_similarity,b2_tuned_act_oldest_exponential,dimension_weighted_semantic_error,-0.008140443612384887,-0.011830631525215672,-0.004460005748164992,-0.008003945469656815,-0.012718948572984803,-0.003007345976449433,8,True,41,10
