method,task_id,episodes,targets,dimension_weighted_semantic_error,translation_normalized_mse,translation_l2_action_units,rotation_geodesic_radians,rotation_normalized_sq,gripper_sign_error,raw_7d_mse,equal_group_semantic_error,arm_gripper_balanced_semantic_error
b0_newest,0,4,575,0.721550694451745,0.8313643903276876,0.49945376946682457,0.04888685820618169,0.7348623080428177,0.35217476605069886,0.19772266776784955,0.6394671548070681,0.5676440576179758
b0_newest,1,4,609,0.42598494233297834,0.49206998407715197,0.43578333248362755,0.038511599413712454,0.4037208958397156,0.2945219565802458,0.14947431350480056,0.3967709454990378,0.37120869826933983
b0_newest,2,4,555,0.705673288389932,0.624839974438654,0.46758788760413694,0.05691161228324218,0.9206611508210746,0.3032096429503383,0.18142035196785078,0.616236922736689,0.5379801027901013
b0_newest,3,4,571,0.7393452937640195,0.5694798330782302,0.4243421976611341,0.060832952173978855,1.0423873249302154,0.339815582322799,0.18194817720824769,0.6505609134437482,0.5728745806635109
b0_newest,4,4,659,0.7168458693131905,0.7094468991156406,0.5311465316463094,0.053930985849943755,0.8553248460199754,0.32360584978548557,0.18888967634592213,0.6294591983070339,0.5529958611766469
b0_newest,5,4,571,0.7848833971537482,0.6112605582535333,0.4988470832805809,0.0642592438948992,1.129274663248955,0.27257811556877304,0.1643734502395527,0.6710377790237538,0.5714228631600085
b0_newest,6,4,611,0.7125364869380175,0.6853574019613449,0.47281537631594023,0.055278601353823925,0.877905896284387,0.29796551382892705,0.1664653519090092,0.6204096040248862,0.5397985814758965
b0_newest,7,4,641,0.8023651072893905,0.6008980004182937,0.4583973335620724,0.06599168343392124,1.1924877059202257,0.23639863201017544,0.14497810725281132,0.676594779449565,0.5665457425897175
b0_newest,8,4,568,1.3556253976085522,0.9152007291415347,0.5377923187182853,0.08576194987302149,2.124434179397051,0.37047305764411026,0.2127286572949236,1.1367026553942319,0.9451452559567014
b0_newest,9,5,783,0.4937877181382344,0.5682597047443018,0.45427692942247155,0.0407612020887307,0.505843868783588,0.2342033063839719,0.15266269387525513,0.43610229330395384,0.38562754657395837
b1_uniform,0,4,575,0.566111468733089,0.5894407955217238,0.461233137652282,0.04467550466240948,0.6233527408465602,0.3243996720267709,0.15154134403245229,0.5123977361316849,0.4653982201054564
b1_uniform,1,4,609,0.38121637259435365,0.43078385963651755,0.42695784517006563,0.03682653343952476,0.3842000001114411,0.2235630289165994,0.12274443275713087,0.34618229622151936,0.31552747939528936
b1_uniform,2,4,555,0.5862953467272226,0.47341580085207685,0.4305472509821233,0.052960366360792814,0.8364334618122684,0.17451963909752313,0.12497201905979881,0.49478963392062275,0.41472213521484785
