task_id,method,episodes,successes,success_rate,mean_steps,mean_policy_queries,mean_effective_source_age_ticks,mean_effective_source_age_seconds
0,cogact_a03,10,7,0.7,200.5,200.5,35.2982601205367,1.7649130060268348
0,exact_act_m001,10,3,0.3,239.6,239.6,43.861652387389896,2.1930826193694952
0,newest,10,5,0.5,227.3,227.3,0.0,0.0
0,newest_age_exp_b003,10,7,0.7,186.6,186.6,21.31015102412385,1.065507551206193
1,cogact_a03,10,4,0.4,222.7,222.7,36.08418089999859,1.8042090449999297
1,exact_act_m001,10,4,0.4,223.0,223.0,42.380143394738994,2.1190071697369497
1,newest,10,1,0.1,264.5,264.5,0.0,0.0
1,newest_age_exp_b003,10,4,0.4,223.5,223.5,22.208770143446113,1.1104385071723057
2,cogact_a03,10,5,0.5,197.4,197.4,33.72905398059983,1.6864526990299915
2,exact_act_m001,10,5,0.5,197.5,197.5,39.175879149945715,1.9587939574972861
2,newest,10,5,0.5,202.7,202.7,0.0,0.0
2,newest_age_exp_b003,10,7,0.7,163.5,163.5,19.891744983417738,0.9945872491708869
3,cogact_a03,10,9,0.9,159.2,159.2,31.973670420299463,1.598683521014973
3,exact_act_m001,10,7,0.7,173.7,173.7,37.777472704544735,1.888873635227237
3,newest,10,3,0.3,234.0,234.0,0.0,0.0
3,newest_age_exp_b003,10,9,0.9,137.6,137.6,19.312279432976684,0.965613971648834
4,cogact_a03,10,8,0.8,168.0,168.0,33.29135278906041,1.6645676394530202
4,exact_act_m001,10,9,0.9,154.2,154.2,37.243260678188996,1.8621630339094497
4,newest,10,7,0.7,199.2,199.2,0.0,0.0
4,newest_age_exp_b003,10,9,0.9,152.5,152.5,20.28102297140783,1.0140511485703914
5,cogact_a03,10,4,0.4,233.7,233.7,36.696775510661084,1.8348387755330546
5,exact_act_m001,10,3,0.3,234.6,234.6,43.09563918004348,2.154781959002174
5,newest,10,3,0.3,238.1,238.1,0.0,0.0
5,newest_age_exp_b003,10,7,0.7,184.0,184.0,21.070601869599653,1.0535300934799827
6,cogact_a03,10,2,0.2,254.5,254.5,37.980869197796295,1.8990434598898147
6,exact_act_m001,10,2,0.2,254.4,254.4,45.098947386279534,2.2549473693139768
6,newest,10,3,0.3,251.0,251.0,0.0,0.0
6,newest_age_exp_b003,10,1,0.1,266.2,266.2,23.429008895456,1.1714504447728
7,cogact_a03,10,1,0.1,264.7,264.7,38.07722201385912,1.9038611006929558
7,exact_act_m001,10,1,0.1,264.7,264.7,45.629315350565136,2.2814657675282572
7,newest,10,4,0.4,234.6,234.6,0.0,0.0
7,newest_age_exp_b003,10,1,0.1,265.4,265.4,23.38429671833069,1.1692148359165344
8,cogact_a03,10,1,0.1,266.6,266.6,38.63289231548499,1.931644615774249
8,exact_act_m001,10,1,0.1,266.4,266.4,45.909637658390224,2.2954818829195114
8,newest,10,3,0.3,248.9,248.9,0.0,0.0
8,newest_age_exp_b003,10,2,0.2,252.9,252.9,23.085649771985782,1.1542824885992888
9,cogact_a03,10,7,0.7,182.6,182.6,33.65050104314675,1.6825250521573376
9,exact_act_m001,10,6,0.6,197.7,197.7,40.18675840944162,2.009337920472081
9,newest,10,10,1.0,133.8,133.8,0.0,0.0
9,newest_age_exp_b003,10,7,0.7,172.2,172.2,20.542144071893805,1.02710720359469
