scope,task_id,blocks,coherence_contrast,interaction,paired_bootstrap_ci_low,paired_bootstrap_ci_high,task_cluster_bootstrap_ci_low,task_cluster_bootstrap_ci_high
overall,,100,0.025,0.05,-0.03,0.085,-0.005000000000000002,0.05500000000000001
task,0,10,-0.05,-0.1,,,,
task,1,10,0.05,0.1,,,,
task,2,10,0.1,0.2,,,,
task,3,10,0.0,0.0,,,,
task,4,10,0.0,0.0,,,,
task,5,10,0.1,0.2,,,,
task,6,10,-0.05,-0.1,,,,
task,7,10,0.05,0.1,,,,
task,8,10,0.0,0.0,,,,
task,9,10,0.05,0.1,,,,
leave_one_task_out,0,90,0.03333333333333333,0.06666666666666667,,,,
leave_one_task_out,1,90,0.022222222222222223,0.044444444444444446,,,,
leave_one_task_out,2,90,0.01666666666666667,0.03333333333333334,,,,
leave_one_task_out,3,90,0.027777777777777776,0.05555555555555555,,,,
leave_one_task_out,4,90,0.027777777777777776,0.05555555555555555,,,,
leave_one_task_out,5,90,0.01666666666666667,0.03333333333333334,,,,
leave_one_task_out,6,90,0.03333333333333333,0.06666666666666667,,,,
leave_one_task_out,7,90,0.022222222222222223,0.044444444444444446,,,,
leave_one_task_out,8,90,0.027777777777777776,0.05555555555555555,,,,
leave_one_task_out,9,90,0.022222222222222223,0.044444444444444446,,,,
