task_id,state_id,FF,OO,FO,OF,arm_fresh_main,gripper_old_main,FO_minus_FF,FO_minus_OO,FO_minus_OF
0,24,0,0,1,0,0.5,0.5,1,1,1
0,26,1,0,1,0,1.0,0.0,0,1,1
0,28,0,1,0,1,-1.0,0.0,0,-1,-1
0,29,0,0,0,0,0.0,0.0,0,0,0
0,32,0,0,1,0,0.5,0.5,1,1,1
0,33,0,0,0,0,0.0,0.0,0,0,0
0,37,0,0,1,0,0.5,0.5,1,1,1
0,40,1,1,1,0,0.5,0.5,0,0,1
0,46,1,1,1,0,0.5,0.5,0,0,1
0,49,0,0,0,0,0.0,0.0,0,0,0
1,24,0,0,0,0,0.0,0.0,0,0,0
1,26,0,0,1,0,0.5,0.5,1,1,1
1,28,0,0,1,0,0.5,0.5,1,1,1
1,29,0,0,0,0,0.0,0.0,0,0,0
1,32,0,1,1,0,0.0,1.0,1,0,1
1,33,1,1,1,0,0.5,0.5,0,0,1
1,37,0,0,0,0,0.0,0.0,0,0,0
1,40,0,0,0,0,0.0,0.0,0,0,0
1,46,1,1,1,0,0.5,0.5,0,0,1
1,49,1,1,1,0,0.5,0.5,0,0,1
2,24,1,1,1,0,0.5,0.5,0,0,1
2,26,1,1,1,1,0.0,0.0,0,0,0
2,28,0,1,1,1,-0.5,0.5,1,0,0
2,29,1,0,1,0,1.0,0.0,0,1,1
2,32,1,1,1,0,0.5,0.5,0,0,1
2,33,1,1,1,1,0.0,0.0,0,0,0
2,37,1,1,1,0,0.5,0.5,0,0,1
2,40,1,1,1,1,0.0,0.0,0,0,0
2,46,1,1,1,1,0.0,0.0,0,0,0
2,49,1,1,1,1,0.0,0.0,0,0,0
3,24,0,1,0,1,-1.0,0.0,0,-1,-1
3,26,1,0,1,0,1.0,0.0,0,1,1
3,28,0,0,0,0,0.0,0.0,0,0,0
3,29,1,0,1,1,0.5,-0.5,0,1,0
3,32,0,1,0,0,-0.5,0.5,0,-1,0
3,33,0,0,0,0,0.0,0.0,0,0,0
3,37,1,0,1,0,1.0,0.0,0,1,1
3,40,0,0,1,0,0.5,0.5,1,1,1
3,46,1,0,1,0,1.0,0.0,0,1,1
3,49,1,0,0,0,0.5,-0.5,-1,0,0
4,24,0,0,1,0,0.5,0.5,1,1,1
4,26,0,0,1,0,0.5,0.5,1,1,1
4,28,0,1,1,0,0.0,1.0,1,0,1
4,29,0,0,0,0,0.0,0.0,0,0,0
4,32,1,1,1,0,0.5,0.5,0,0,1
4,33,1,1,1,0,0.5,0.5,0,0,1
4,37,0,0,0,0,0.0,0.0,0,0,0
4,40,0,1,1,0,0.0,1.0,1,0,1
4,46,1,0,1,0,1.0,0.0,0,1,1
4,49,0,1,1,0,0.0,1.0,1,0,1
5,24,0,0,0,0,0.0,0.0,0,0,0
5,26,0,1,1,0,0.0,1.0,1,0,1
5,28,1,0,1,0,1.0,0.0,0,1,1
5,29,1,1,1,0,0.5,0.5,0,0,1
5,32,1,0,0,0,0.5,-0.5,-1,0,0
5,33,0,0,0,0,0.0,0.0,0,0,0
5,37,0,1,1,0,0.0,1.0,1,0,1
5,40,1,1,1,0,0.5,0.5,0,0,1
5,46,0,1,1,1,-0.5,0.5,1,0,0
5,49,0,1,1,0,0.0,1.0,1,0,1
6,24,0,0,0,0,0.0,0.0,0,0,0
6,26,0,0,0,0,0.0,0.0,0,0,0
6,28,0,0,0,1,-0.5,-0.5,0,0,-1
6,29,1,0,1,0,1.0,0.0,0,1,1
6,32,0,0,0,0,0.0,0.0,0,0,0
6,33,0,0,0,0,0.0,0.0,0,0,0
6,37,1,1,1,1,0.0,0.0,0,0,0
6,40,0,0,0,0,0.0,0.0,0,0,0
6,46,1,1,1,1,0.0,0.0,0,0,0
6,49,1,1,1,1,0.0,0.0,0,0,0
7,24,0,1,0,0,-0.5,0.5,0,-1,0
7,26,0,0,0,0,0.0,0.0,0,0,0
7,28,1,0,1,0,1.0,0.0,0,1,1
7,29,0,0,1,0,0.5,0.5,1,1,1
7,32,1,0,1,0,1.0,0.0,0,1,1
7,33,0,0,0,0,0.0,0.0,0,0,0
7,37,0,0,0,0,0.0,0.0,0,0,0
7,40,1,0,1,0,1.0,0.0,0,1,1
7,46,0,1,0,0,-0.5,0.5,0,-1,0
7,49,0,0,0,0,0.0,0.0,0,0,0
8,24,0,0,0,0,0.0,0.0,0,0,0
8,26,0,0,0,0,0.0,0.0,0,0,0
8,28,0,0,0,0,0.0,0.0,0,0,0
8,29,0,0,0,0,0.0,0.0,0,0,0
8,32,0,0,0,0,0.0,0.0,0,0,0
8,33,0,0,0,0,0.0,0.0,0,0,0
8,37,1,1,1,0,0.5,0.5,0,0,1
8,40,0,0,0,0,0.0,0.0,0,0,0
8,46,0,0,1,0,0.5,0.5,1,1,1
8,49,0,0,0,0,0.0,0.0,0,0,0
9,24,1,1,1,0,0.5,0.5,0,0,1
9,26,0,0,1,0,0.5,0.5,1,1,1
9,28,1,1,1,1,0.0,0.0,0,0,0
9,29,1,0,1,0,1.0,0.0,0,1,1
9,32,1,0,1,0,1.0,0.0,0,1,1
9,33,1,0,1,0,1.0,0.0,0,1,1
9,37,1,1,1,0,0.5,0.5,0,0,1
9,40,1,1,1,1,0.0,0.0,0,0,0
9,46,1,1,1,1,0.0,0.0,0,0,0
9,49,1,0,1,0,1.0,0.0,0,1,1
