contrast,omitted_task,estimate
arm_fresh_main,0,0.24444444444444446
arm_fresh_main,1,0.24444444444444446
arm_fresh_main,2,0.25
arm_fresh_main,3,0.23888888888888893
arm_fresh_main,4,0.23888888888888893
arm_fresh_main,5,0.25
arm_fresh_main,6,0.2666666666666667
arm_fresh_main,7,0.24444444444444446
arm_fresh_main,8,0.2611111111111111
arm_fresh_main,9,0.21111111111111114
gripper_old_main,0,0.2
gripper_old_main,1,0.18888888888888888
gripper_old_main,2,0.20555555555555555
gripper_old_main,3,0.2277777777777778
gripper_old_main,4,0.17222222222222222
gripper_old_main,5,0.18333333333333332
gripper_old_main,6,0.23333333333333334
gripper_old_main,7,0.21111111111111114
gripper_old_main,8,0.21666666666666667
gripper_old_main,9,0.21111111111111114
FO_minus_FF,0,0.16666666666666669
FO_minus_FF,1,0.16666666666666669
FO_minus_FF,2,0.18888888888888894
FO_minus_FF,3,0.20000000000000004
FO_minus_FF,4,0.1444444444444445
FO_minus_FF,5,0.16666666666666669
FO_minus_FF,6,0.20000000000000004
FO_minus_FF,7,0.1888888888888889
FO_minus_FF,8,0.1888888888888889
FO_minus_FF,9,0.1888888888888889
FO_minus_OO,0,0.21111111111111114
FO_minus_OO,1,0.2222222222222222
FO_minus_OO,2,0.2333333333333334
FO_minus_OO,3,0.2111111111111111
FO_minus_OO,4,0.2111111111111111
FO_minus_OO,5,0.23333333333333334
FO_minus_OO,6,0.23333333333333334
FO_minus_OO,7,0.2222222222222222
FO_minus_OO,8,0.23333333333333334
FO_minus_OO,9,0.1888888888888889
FO_minus_OF,0,0.4444444444444444
FO_minus_OF,1,0.43333333333333335
FO_minus_OF,2,0.4555555555555556
FO_minus_OF,3,0.4666666666666667
FO_minus_OF,4,0.41111111111111115
FO_minus_OF,5,0.43333333333333335
FO_minus_OF,6,0.5
FO_minus_OF,7,0.4555555555555556
FO_minus_OF,8,0.47777777777777775
FO_minus_OF,9,0.4222222222222223
