task_id,FF,OO,FO,OF,arm_fresh_main,gripper_old_main,FO_minus_FF,FO_minus_OO,FO_minus_OF,FO_ge_FF,FO_gt_FF,FO_gt_OO
0,0.3,0.3,0.6,0.1,0.25,0.25,0.3,0.3,0.5,True,True,True
1,0.3,0.4,0.6,0.0,0.25,0.35,0.3,0.2,0.6,True,True,True
2,0.9,0.9,1.0,0.6,0.2,0.2,0.1,0.1,0.4,True,True,True
3,0.5,0.2,0.5,0.2,0.3,0.0,0.0,0.3,0.3,True,False,True
4,0.3,0.5,0.8,0.0,0.3,0.5,0.5,0.3,0.8,True,True,True
5,0.4,0.6,0.7,0.1,0.2,0.4,0.3,0.1,0.6,True,True,True
6,0.4,0.3,0.4,0.4,0.05,-0.05,0.0,0.1,0.0,True,False,True
7,0.3,0.2,0.4,0.0,0.25,0.15,0.1,0.2,0.4,True,True,True
8,0.1,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.2,True,True,True
9,0.9,0.5,1.0,0.3,0.55,0.15,0.1,0.5,0.7,True,True,True
