task_id,method,episodes,successes,success_rate,mean_steps,mean_policy_queries,task_coherence_contrast
0,FF,10,3,0.3,235.7,235.7,-0.05
0,OO,10,3,0.3,244.5,244.5,-0.05
0,FO,10,6,0.6,197.8,197.8,-0.05
0,OF,10,1,0.1,264.7,264.7,-0.05
1,FF,10,3,0.3,230.5,230.5,0.05
1,OO,10,4,0.4,215.7,215.7,0.05
1,FO,10,6,0.6,190.6,190.6,0.05
1,OF,10,0,0.0,280.0,280.0,0.05
2,FF,10,9,0.9,139.8,139.8,0.1
2,OO,10,9,0.9,132.9,132.9,0.1
2,FO,10,10,1.0,124.1,124.1,0.1
2,OF,10,6,0.6,183.4,183.4,0.1
3,FF,10,5,0.5,217.5,217.5,0.0
3,OO,10,2,0.2,247.3,247.3,0.0
3,FO,10,5,0.5,212.1,212.1,0.0
3,OF,10,2,0.2,254.8,254.8,0.0
4,FF,10,3,0.3,244.9,244.9,0.0
4,OO,10,5,0.5,211.8,211.8,0.0
4,FO,10,8,0.8,172.0,172.0,0.0
4,OF,10,0,0.0,280.0,280.0,0.0
5,FF,10,4,0.4,221.7,221.7,0.1
5,OO,10,6,0.6,188.4,188.4,0.1
5,FO,10,7,0.7,190.5,190.5,0.1
5,OF,10,1,0.1,264.6,264.6,0.1
6,FF,10,4,0.4,230.4,230.4,-0.05
6,OO,10,3,0.3,238.4,238.4,-0.05
6,FO,10,4,0.4,227.2,227.2,-0.05
6,OF,10,4,0.4,230.8,230.8,-0.05
7,FF,10,3,0.3,234.7,234.7,0.05
7,OO,10,2,0.2,250.9,250.9,0.05
7,FO,10,4,0.4,215.8,215.8,0.05
7,OF,10,0,0.0,280.0,280.0,0.05
8,FF,10,1,0.1,266.6,266.6,0.0
8,OO,10,1,0.1,267.9,267.9,0.0
8,FO,10,2,0.2,252.4,252.4,0.0
8,OF,10,0,0.0,280.0,280.0,0.0
9,FF,10,9,0.9,130.6,130.6,0.05
9,OO,10,5,0.5,208.6,208.6,0.05
9,FO,10,10,1.0,126.0,126.0,0.05
9,OF,10,3,0.3,231.5,231.5,0.05
