task_id,confirmatory_scope,method,episodes,successes,success_rate,mean_steps,mean_policy_queries,h1_gripper_task_difference,h1_arm_task_difference,h2_age_task_difference,h2_cog_task_difference
0,secondary_task0,A_NEWEST,14,10,0.7142857142857143,224.07142857142858,224.07142857142858,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
0,secondary_task0,B_FULL_OLD20,14,4,0.2857142857142857,240.0,240.0,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
0,secondary_task0,C_ASYMMETRIC_FO20,14,11,0.7857142857142857,174.92857142857142,174.92857142857142,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
0,secondary_task0,D_AGE_EXP_B003,14,10,0.7142857142857143,182.0,182.0,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
0,secondary_task0,E_COGACT_A03,14,10,0.7142857142857143,183.42857142857142,183.42857142857142,0.07142857142857142,0.5,0.07142857142857142,0.07142857142857142
1,primary_tasks1_to_9,A_NEWEST,14,1,0.07142857142857142,268.14285714285717,268.14285714285717,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.21428571428571427
1,primary_tasks1_to_9,B_FULL_OLD20,14,2,0.14285714285714285,258.85714285714283,258.85714285714283,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.21428571428571427
1,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,6,0.42857142857142855,231.14285714285714,231.14285714285714,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.21428571428571427
1,primary_tasks1_to_9,D_AGE_EXP_B003,14,3,0.21428571428571427,252.28571428571428,252.28571428571428,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.21428571428571427
1,primary_tasks1_to_9,E_COGACT_A03,14,3,0.21428571428571427,252.92857142857142,252.92857142857142,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.21428571428571427
2,primary_tasks1_to_9,A_NEWEST,14,9,0.6428571428571429,186.14285714285714,186.14285714285714,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855
2,primary_tasks1_to_9,B_FULL_OLD20,14,8,0.5714285714285714,185.35714285714286,185.35714285714286,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855
2,primary_tasks1_to_9,C_ASYMMETRIC_FO20,14,12,0.8571428571428571,139.71428571428572,139.71428571428572,0.21428571428571427,0.2857142857142857,0.5,0.42857142857142855
