task,method,success,n,rate
beat_block_hammer,NATIVE_ACT,9,20,0.45
click_alarmclock,NATIVE_ACT,1,20,0.05
dump_bin_bigbin,NATIVE_ACT,1,20,0.05
handover_block,NATIVE_ACT,0,20,0.0
open_laptop,NATIVE_ACT,8,20,0.4
beat_block_hammer,NEWEST,0,20,0.0
click_alarmclock,NEWEST,4,20,0.2
dump_bin_bigbin,NEWEST,0,20,0.0
handover_block,NEWEST,0,20,0.0
open_laptop,NEWEST,7,20,0.35
beat_block_hammer,FULL_OLD_1S,1,20,0.05
click_alarmclock,FULL_OLD_1S,2,20,0.1
dump_bin_bigbin,FULL_OLD_1S,0,20,0.0
handover_block,FULL_OLD_1S,0,20,0.0
open_laptop,FULL_OLD_1S,6,20,0.3
beat_block_hammer,FO_1S,0,20,0.0
click_alarmclock,FO_1S,3,20,0.15
dump_bin_bigbin,FO_1S,0,20,0.0
handover_block,FO_1S,0,20,0.0
open_laptop,FO_1S,8,20,0.4
beat_block_hammer,GRIPPER_HOLD,0,20,0.0
click_alarmclock,GRIPPER_HOLD,0,20,0.0
dump_bin_bigbin,GRIPPER_HOLD,0,20,0.0
handover_block,GRIPPER_HOLD,0,20,0.0
open_laptop,GRIPPER_HOLD,5,20,0.25
beat_block_hammer,GRIPPER_EMA_1S,0,20,0.0
click_alarmclock,GRIPPER_EMA_1S,3,20,0.15
dump_bin_bigbin,GRIPPER_EMA_1S,0,20,0.0
handover_block,GRIPPER_EMA_1S,0,20,0.0
open_laptop,GRIPPER_EMA_1S,7,20,0.35
