run_dir,task_id,strategy,arm_horizon,gripper_horizon,episodes,successes,success_rate,environment_steps,policy_queries,query_rate,actions,out_of_bounds_by_dimension,metadata_sha256,episodes_sha256,steps_sha256,summary_sha256,checkpoint,lerobot_commit,temporal_ensemble_coeff,issues
experiments/runs/libero_object_cross_task/sanity/task_1_global_h8,1,global_fixed,8,8,5,3,0.6,987,125,0.12664640324214793,987,"[0, 0, 1, 0, 0, 0, 644]",b548e29d9dc95f8b74497b7a4fd47adcee6ed7f8f23743db19eddb12f6df5198,04754f852c5f3c9ba55b0e3944d3d2e1d65752389d20202c89ed5851927af149,19185e323de4a54148aae2fb6bb0bbaf38c5460eac489ee33cc08d3745049bac,dad2b9e0a0537c68134830c70e27a621faf0ebd6bee291a4f350bba28233f3dc,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_2_global_h8,2,global_fixed,8,8,5,4,0.8,710,90,0.1267605633802817,710,"[0, 0, 5, 0, 0, 0, 589]",8ab2558fec618db305bea76dcfd5672a6e26ff18ad80268ca719ee161e26e2d2,bae96cb3886d4a22b8618a108577c0a04aee7d77ef6c155ab77c92606caf1076,9ff56d8332c4db58c641d7e665d26bdfdd58a094c0bf44e6e67b4ac69eef455a,b8f3f56b5b20dd1d5480587fc1665006cedd4a855873c6eac88a40735dba42ce,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_3_global_h8,3,global_fixed,8,8,5,5,1.0,644,82,0.12732919254658384,644,"[0, 0, 0, 0, 0, 0, 602]",9f0d89eec550f4f3edf37e9ae143709a52da32946d3753d6b253857983175411,1619c712f34eb4670b2957d17298358f0a417fad385f920899b753661fc56d44,6f8af798d07bf4c90cbb3176494fc5f0cef77c7c0369051a25ce9a558ff4ebbe,392abf75e287d1a0e76b00b196d2418d8b7b3d3126b3546e9cab17b75008f40b,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_3_global_h8_partial_infrastructure,3,global_fixed,8,8,5,5,1.0,644,82,0.12732919254658384,644,"[0, 0, 0, 0, 0, 0, 602]",9f0d89eec550f4f3edf37e9ae143709a52da32946d3753d6b253857983175411,1619c712f34eb4670b2957d17298358f0a417fad385f920899b753661fc56d44,6f8af798d07bf4c90cbb3176494fc5f0cef77c7c0369051a25ce9a558ff4ebbe,392abf75e287d1a0e76b00b196d2418d8b7b3d3126b3546e9cab17b75008f40b,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_4_global_h8,4,global_fixed,8,8,5,3,0.6,978,123,0.12576687116564417,978,"[0, 0, 10, 0, 0, 0, 833]",980d01593edd456551da5e7e337c2a76e68f3899855a1bacdaf142f75559eea7,47366caa0bc79c9542b0d300d632005b1b6e38f3c92144f413c1d9b3c1d801bd,c359619e4803102e240530ecff6ec216a1acf9fdc48b1f159d9a6eed5aee4675,283c4852d533eadda7bd87e74d729e4183b3be69b3c7b202b96b7ab5c5bd18e3,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_5_global_h8,5,global_fixed,8,8,5,5,1.0,628,81,0.12898089171974522,628,"[0, 0, 0, 0, 0, 0, 581]",75055c8e0035e3e88359f06adc2b235c61c1b04ba79015de7f86441e5d74e703,f41f31625411738c38daa76a63e3a1b3dd7ec139489912b1232d3153323b3d91,7581e2eab41adab391622adb96288903edf0c56f0a06135d00373cdf95e60a3d,6d5ff7f52b88b29cffdc4b0cf66eb9c4fe1ab0966804e3a56b4e7bd9b92eb126,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_6_global_h8,6,global_fixed,8,8,5,3,0.6,972,122,0.12551440329218108,972,"[0, 0, 57, 0, 0, 0, 732]",4949aeb6c18c3d7d188c8fcc4fd5501587dd1a8e7a8b282eb6294859de475cfe,bc9cd8e87868c92ce688223d03a4f0ea2082b5f67b67e3210d7913817096d190,dc98acbddd72a02b8691271c15284a56faefe20d73246370b97aa8466ae7ce11,7b940078d7ab3705f4a7650f954eeb1c0e45afe1fda38ff446b1135ecf24f5e5,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_6_global_h8_partial_infrastructure,6,global_fixed,8,8,5,3,0.6,972,122,0.12551440329218108,972,"[0, 0, 57, 0, 0, 0, 732]",9327319ea8a06a5986166bd3927aa0536788b93bd5af00fc156b6b583f013800,bc9cd8e87868c92ce688223d03a4f0ea2082b5f67b67e3210d7913817096d190,dc98acbddd72a02b8691271c15284a56faefe20d73246370b97aa8466ae7ce11,,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,['observed_chunk_shape_not_100x7']
experiments/runs/libero_object_cross_task/sanity/task_7_global_h8,7,global_fixed,8,8,5,2,0.4,1078,135,0.12523191094619665,1078,"[0, 5, 1, 0, 0, 0, 635]",dfa17605c41cf26e1c03e26b414b1c72171a3d6687dbd9fe40ae00a3ede98cc7,e81379b2d555337215f9d171656a46200867bcd6c229c33230e3ddb652bb495c,b48796d4ffa01688fe0eb5d10b2a51c4e2f364a632ef36d22e7a63f4c2b06b64,29d1951325dab38baf56dd21a494523af1e6b66d4cfb8a52e8a5b14263994e3b,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
experiments/runs/libero_object_cross_task/sanity/task_8_global_h8,8,global_fixed,8,8,5,1,0.2,1285,161,0.12529182879377432,1285,"[0, 9, 33, 0, 0, 0, 836]",f54c228f622eadd74c8fdeef6f954a75eff628dfdf85861a60569228a4479704,5caba10e726bae52fdf68abe91c2a0a8331e1ce5d6a093724b578e2e7bea8ce3,83167fdcd975cfa115163ba6a49f7ad48bf32dc1867d387397832aa88f944473,02600821fbab8343844a91cf624483e9fbd7ada8b4d3a86d3ffaf642f162fd31,/home/thor/projects/checkpoints/zeromidnight_act_libero_object,f66e5128ecb2456e8c54a63d15404fa59c16aebc,,[]
