task_id,init_state_id,seed,shift_-8,shift_-4,shift_0_baseline,shift_+4,shift_+8,any_candidate_success,baseline_failure_rescued
1,0,1000,0,1,1,0,0,1,0
1,1,1001,0,1,1,1,0,1,0
1,2,1002,1,1,1,1,1,1,0
1,3,1003,0,0,0,0,0,0,0
1,4,1004,1,1,0,0,0,1,1
1,5,1005,0,0,1,0,0,1,0
1,6,1006,0,1,0,0,0,1,1
1,7,1007,0,0,0,0,0,0,0
1,8,1008,1,1,1,1,0,1,0
1,9,1009,1,1,1,1,0,1,0
6,0,1000,0,0,1,0,0,1,0
6,1,1001,0,1,1,1,1,1,0
6,2,1002,0,0,1,0,0,1,0
6,3,1003,1,1,1,1,1,1,0
6,4,1004,0,1,1,1,1,1,0
6,5,1005,0,0,0,0,0,0,0
6,6,1006,0,0,0,0,0,0,0
6,7,1007,0,0,1,0,1,1,0
6,8,1008,0,1,1,1,1,1,0
6,9,1009,0,0,0,0,0,0,0
8,0,1000,0,0,0,0,0,0,0
8,1,1001,0,0,0,0,0,0,0
8,2,1002,0,0,0,0,0,0,0
8,3,1003,0,0,0,0,0,0,0
8,4,1004,0,0,1,1,0,1,0
8,5,1005,0,0,0,0,0,0,0
8,6,1006,0,0,0,0,0,0,0
8,7,1007,1,1,1,0,0,1,0
8,8,1008,0,0,0,0,0,0,0
8,9,1009,0,0,0,1,1,1,1
