method,dimension,mse
frozen_act,0,0.035055150489476376
frozen_act,1,0.10394749812054437
frozen_act,2,0.1818925222967988
frozen_act,3,0.00046515572444727726
frozen_act,4,0.0027320412469794973
frozen_act,5,0.0012970867474821775
frozen_act,6,0.9377873813027113
clip,0,0.035055150489476376
clip,1,0.10394749812054437
clip,2,0.1818924546482447
clip,3,0.00046515572444727726
clip,4,0.0027320412469794973
clip,5,0.0012970867474821775
clip,6,0.9317268680464795
support_quantile_clip,0,0.035055150489476376
support_quantile_clip,1,0.10394749812054437
support_quantile_clip,2,0.18188905555183693
support_quantile_clip,3,0.00046515572444727726
support_quantile_clip,4,0.0027320412469794973
support_quantile_clip,5,0.0012970867474821775
support_quantile_clip,6,0.9317268680464795
previous_blend_0.25,0,0.03478979269159159
previous_blend_0.25,1,0.10464797169234615
previous_blend_0.25,2,0.17834137298683272
previous_blend_0.25,3,0.00046465775784089767
previous_blend_0.25,4,0.0027219468497123867
previous_blend_0.25,5,0.0012968039977460663
previous_blend_0.25,6,0.9295741306380343
previous_blend_0.5,0,0.03484207135394493
previous_blend_0.5,1,0.10432074712525827
previous_blend_0.5,2,0.17923336796367415
previous_blend_0.5,3,0.00046465809897235305
previous_blend_0.5,4,0.002724122919675993
previous_blend_0.5,5,0.0012964370906326922
previous_blend_0.5,6,0.9300086157849317
previous_blend_0.75,0,0.03493052395323701
previous_blend_0.75,1,0.10408725593464846
previous_blend_0.75,2,0.1804170844003195
previous_blend_0.75,3,0.00046482408784112144
previous_blend_0.75,4,0.002727487718765041
previous_blend_0.75,5,0.0012965313405447158
previous_blend_0.75,6,0.9327463660063904
ema_0.25,0,0.034436415763828054
ema_0.25,1,0.10643262451178238
ema_0.25,2,0.16869386057183414
ema_0.25,3,0.0004620152955999048
ema_0.25,4,0.002692080589897946
ema_0.25,5,0.0012908398784869117
ema_0.25,6,0.8800305187204359
ema_0.5,0,0.03464808737837292
ema_0.5,1,0.10463518826077818
ema_0.5,2,0.17639235902601422
ema_0.5,3,0.00046384165892650537
ema_0.5,4,0.00271521213393346
ema_0.5,5,0.0012950399960816972
ema_0.5,6,0.9179171199264974
ema_0.75,0,0.03489079534142946
ema_0.75,1,0.10413435014177015
ema_0.75,2,0.1799035176025929
ema_0.75,3,0.0004646748707271265
ema_0.75,4,0.002725895605264124
ema_0.75,5,0.0012963022791841997
ema_0.75,6,0.9307078305681864
mean_residual,0,0.03405987466064167
mean_residual,1,0.10386256703924521
mean_residual,2,0.18167894417781116
mean_residual,3,0.0004699904373902223
mean_residual,4,0.0026891004377300946
mean_residual,5,0.0012770624193053214
mean_residual,6,0.9381428174978579
task_position_residual,0,0.032353901208669336
task_position_residual,1,0.10040400198355433
task_position_residual,2,0.17670338351688714
task_position_residual,3,0.00046573090635235875
task_position_residual,4,0.0026514821085904744
task_position_residual,5,0.0012093080549893795
task_position_residual,6,0.879776022722354
affine_scale_0.25,0,0.03371913567848554
affine_scale_0.25,1,0.10111280136026483
affine_scale_0.25,2,0.1716038306546557
affine_scale_0.25,3,0.0004537652523048246
affine_scale_0.25,4,0.002597854261662078
affine_scale_0.25,5,0.001190345248133746
affine_scale_0.25,6,0.8194015757091705
affine_scale_0.5,0,0.032841253356501
affine_scale_0.5,1,0.09932321741975851
affine_scale_0.5,2,0.16416135090278158
affine_scale_0.5,3,0.00045059807344107085
affine_scale_0.5,4,0.002508778768317541
affine_scale_0.5,5,0.0011308277259777246
affine_scale_0.5,6,0.7347940839479387
affine_scale_0.75,0,0.03242150352352497
affine_scale_0.75,1,0.09857874629901765
affine_scale_0.75,2,0.15956508304115588
affine_scale_0.75,3,0.0004556541878560092
affine_scale_0.75,4,0.002464814766946045
affine_scale_0.75,5,0.0011185341810139187
affine_scale_0.75,6,0.6839649060187932
affine_residual,0,0.03245988617955532
affine_residual,1,0.09887938799803919
affine_residual,2,0.15781502706978076
affine_residual,3,0.00046893359554963466
affine_residual,4,0.002465962257547392
affine_residual,5,0.0011534646132424255
affine_residual,6,0.6669140419217907
affine_gate_q25,0,0.03259354266866419
affine_gate_q25,1,0.0991546653290054
affine_gate_q25,2,0.15894619312011996
affine_gate_q25,3,0.0004669732059051103
affine_gate_q25,4,0.002540809557260477
affine_gate_q25,5,0.0011678116396859626
affine_gate_q25,6,0.6635574571265916
affine_gate_q50,0,0.03313065866127127
affine_gate_q50,1,0.10049377199607507
affine_gate_q50,2,0.16300177316507425
affine_gate_q50,3,0.0004625356382824449
affine_gate_q50,4,0.0026136825309145202
affine_gate_q50,5,0.0011990268975770007
affine_gate_q50,6,0.6843534454378649
affine_gate_q75,0,0.03402995030880126
affine_gate_q75,1,0.10202004708613134
affine_gate_q75,2,0.17216149041992854
affine_gate_q75,3,0.0004598770336969165
affine_gate_q75,4,0.002678330151248112
affine_gate_q75,5,0.0012575287782298997
affine_gate_q75,6,0.7776250537566438
