run,step,success_once,success_at_end
maniskill_uniformact_pick_10000,0,0.0,0.0
maniskill_uniformact_pick_10000,2000,0.0,0.0
maniskill_uniformact_pick_10000,4000,0.0,0.0
maniskill_uniformact_pick_10000,6000,0.0,0.0
maniskill_uniformact_pick_10000,8000,0.20000000298023224,0.20000000298023224
maniskill_uniformact_pick_7000,0,0.0,0.0
maniskill_uniformact_pick_7000,2000,0.0,0.0
maniskill_uniformact_pick_7000,4000,0.0,0.0
maniskill_uniformact_pick_7000,6000,0.0,0.0
maniskill_uniformact_pick_health,0,0.0,0.0
maniskill_uniformact_pick_health,500,0.0,0.0
maniskill_uniformact_pick_health,1000,0.0,0.0
maniskill_uniformact_pick_health_5000,0,0.0,0.0
maniskill_uniformact_pick_health_5000,1000,0.0,0.0
maniskill_uniformact_pick_health_5000,2000,0.0,0.0
maniskill_uniformact_pick_health_5000,3000,0.0,0.0
maniskill_uniformact_pick_health_5000,4000,0.0,0.0
maniskill_uniformact_pick_overfit1,0,0.0,0.0
maniskill_uniformact_pick_overfit1,500,0.0,0.0
maniskill_uniformact_pick_overfit1_10000,0,0.0,0.0
maniskill_uniformact_pick_overfit1_10000,2000,0.0,0.0
maniskill_uniformact_pick_overfit1_10000,4000,0.0,0.0
maniskill_uniformact_pick_overfit1_10000,6000,0.0,0.0
maniskill_uniformact_pick_overfit1_10000,8000,0.0,0.0
maniskill_uniformact_pick_temporal,0,0.0,0.0
maniskill_uniformact_pick_temporal,1000,0.0,0.0
maniskill_uniformact_pick_temporal,2000,0.0,0.0
maniskill_uniformact_stack_7000,0,0.0,0.0
maniskill_uniformact_stack_7000,2000,0.20000000298023224,0.0
maniskill_uniformact_stack_7000,4000,0.0,0.0
maniskill_uniformact_stack_7000,6000,0.0,0.0
pickcube_uniformact_expert14_notemporal_10000,0,0.0,0.0
pickcube_uniformact_expert14_notemporal_10000,2000,0.0,0.0
pickcube_uniformact_expert14_notemporal_10000,4000,0.0,0.0
pickcube_uniformact_expert14_notemporal_10000,6000,0.0,0.0
pickcube_uniformact_expert14_notemporal_10000,8000,0.0,0.0
pickcube_uniformact_original_30000,0,0.0,0.0
pickcube_uniformact_original_30000,2000,0.0,0.0
pickcube_uniformact_original_30000,4000,0.0,0.0
pickcube_uniformact_original_30000,6000,0.0,0.0
pickcube_uniformact_original_30000,8000,0.20000000298023224,0.0
pickcube_uniformact_original_30000,10000,0.0,0.0
pickcube_uniformact_original_30000,12000,0.0,0.0
pickcube_uniformact_original_30000,14000,0.0,0.0
pickcube_uniformact_original_30000,16000,0.0,0.0
pickcube_uniformact_original_30000,18000,0.0,0.0
pickcube_uniformact_original_30000,20000,0.20000000298023224,0.0
pickcube_uniformact_original_30000,22000,0.0,0.0
pickcube_uniformact_original_30000,24000,0.0,0.0
pickcube_uniformact_original_30000,26000,0.20000000298023224,0.0
pickcube_uniformact_original_30000,28000,0.0,0.0
stackcube_uniformact_original_30000,0,0.0,0.0
stackcube_uniformact_original_30000,2000,0.0,0.0
stackcube_uniformact_original_30000,4000,0.0,0.0
stackcube_uniformact_original_30000,6000,0.0,0.0
stackcube_uniformact_original_30000,8000,0.0,0.0
stackcube_uniformact_original_30000,10000,0.0,0.0
stackcube_uniformact_original_30000,12000,0.0,0.0
stackcube_uniformact_original_30000,14000,0.0,0.0
stackcube_uniformact_original_30000,16000,0.0,0.0
stackcube_uniformact_original_30000,18000,0.0,0.0
stackcube_uniformact_original_30000,20000,0.0,0.0
stackcube_uniformact_original_30000,22000,0.0,0.0
stackcube_uniformact_original_30000,24000,0.0,0.0
stackcube_uniformact_original_30000,26000,0.0,0.0
stackcube_uniformact_original_30000,28000,0.20000000298023224,0.0
